Rank,Abbreviated Journal Title,ISSN,2014 Total Cites,Impact Factor,5-Year Impact Factor,Immediacy Index,2014 Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
637,PHYSIOLOGY,1548-9213,2691,4.857,7.575,2.125,40,6.2,0.0074,2.908
638,BRIT J ANAESTH,0007-0912,14259,4.853,4.691,1.288,229,7.8,0.02513,1.357
639,J MOL DIAGN,1525-1578,2948,4.851,3.988,1.085,71,4.8,0.00884,1.338
640,LIVER INT,1478-3223,6383,4.85,4.481,1.301,216,4.1,0.02032,1.34
641,ELECTROCHEM COMMUN,1388-2481,23276,4.847,5.263,0.89,318,5.8,0.04217,1.16
642,ENERGY,0360-5442,24923,4.844,5.153,0.819,1260,3.9,0.04665,0.921
643,BRIT J PHARMACOL,0007-1188,30266,4.842,4.957,1.513,415,7.5,0.04828,1.316
644,EXPERT OPIN DRUG DEL,1742-5247,3846,4.84,5.021,1.047,128,4.4,0.00948,1.155
645,NAT REV UROL,1759-4812,1405,4.84,4.759,1.109,55,3.2,0.00746,1.662
646,BIOL SEX DIFFER,2042-6410,321,4.837,,0.389,18,2.4,0.00162,
647,BRIT J CANCER,0007-0920,41425,4.836,5.305,1.051,625,8,0.07554,1.66
648,FUNCT ECOL,0269-8463,11132,4.828,5.278,1.365,148,8.3,0.02254,2.006
649,HUM GENET,0340-6717,8873,4.824,4.521,1.468,124,9.2,0.01801,1.728
650,MULT SCLER J,1352-4585,7810,4.822,4.451,1.042,236,4.9,0.02142,1.344
651,J HEMATOL ONCOL,1756-8722,1475,4.812,4.417,0.784,88,2.7,0.00553,1.132
652,MOL CARCINOGEN,0899-1987,4318,4.808,4.18,1,118,5.4,0.00931,1.087
653,ENDOCR-RELAT CANCER,1351-0088,5382,4.805,5.217,1.078,128,5.9,0.01265,1.596
654,ARCH DERMATOL,0003-987X,11680,4.789,4.457,,0,>10.0,0.01261,1.494
655,J GEN PHYSIOL,0022-1295,8095,4.788,4.417,1.53,83,>10.0,0.0116,1.899
656,EPIGENETICS-US,1559-2294,3802,4.78,5.081,0.876,169,3.3,0.01748,1.751
657,MOL CELL BIOL,0270-7306,64143,4.777,5.228,1.173,346,>10.0,0.08356,2.401
658,ECOGRAPHY,0906-7590,7852,4.774,5.565,1.108,130,6.9,0.01909,2.039
659,J PHYS CHEM C,1932-7447,113624,4.772,5.295,0.768,3411,4.3,0.3078,1.233
660,CLIN EXP ALLERGY,0954-7894,10303,4.769,4.501,1.213,136,7.7,0.01769,1.297
661,INORG CHEM,0020-1669,93528,4.762,4.64,1.029,1498,7.8,0.12161,1.01
662,REV MINERAL GEOCHEM,1529-6466,3954,4.76,5.479,1.842,19,>10.0,0.00553,2.874
663,COMPR PHYSIOL,2040-4603,936,4.739,4.023,0.588,51,2.4,0.00555,1.579
664,ADDICTION,0965-2140,16193,4.738,5.781,2.125,192,7.6,0.03284,1.995
665,EARTH PLANET SC LETT,0012-821X,48487,4.734,5.143,1.181,648,9.6,0.10187,2.421
666,BIOESSAYS,0265-9247,9096,4.73,5.023,1.488,125,8.8,0.01948,2.122
667,J MATER CHEM B,2050-750X,4180,4.726,4.729,0.98,864,1.3,0.00976,0.871
668,MOL PLANT PATHOL,1464-6722,3631,4.724,4.54,1.045,88,5.9,0.00769,1.242
669,J ORG CHEM,0022-3263,101519,4.721,4.385,1.073,1324,>10.0,0.10866,1.036
670,J HYPERTENS,0263-6352,15386,4.72,4.11,1.269,260,7.6,0.02817,1.276
671,ARTHRIT CARE RES,2151-464X,11337,4.713,4.962,0.7,240,5.6,0.03108,1.626
672,BRIT J HAEMATOL,0007-1048,20845,4.711,4.676,0.894,330,8.8,0.04123,1.772
673,ADV NUTR,2161-8313,1390,4.709,5.794,0.702,94,2.6,0.00669,1.844
674,AM J OBSTET GYNECOL,0002-9378,33839,4.704,4.142,1.005,364,>10.0,0.04773,1.492
675,INTEGR COMPUT-AID E,1069-2509,516,4.698,2.885,0.393,28,3,0.00124,0.594
676,EXP NEUROL,0014-4886,18541,4.696,4.542,0.888,223,8.2,0.03141,1.397
677,J MATER CHEM C,2050-7526,5889,4.696,4.701,1.139,1216,1.3,0.01528,1.005
678,CURR OPIN HIV AIDS,1746-630X,1668,4.68,3.879,1.079,76,3.2,0.00882,1.494
679,CURR TOP DEV BIOL,0070-2153,2462,4.68,5.816,1.073,41,5.9,0.00887,2.693
680,ANN EMERG MED,0196-0644,9881,4.676,4.413,1.122,123,9.6,0.01773,1.673
681,CLIM DYNAM,0930-7575,11997,4.673,4.949,0.973,401,5,0.04573,2.22
682,BIOL DIRECT,1745-6150,1445,4.658,3.826,0.452,31,4.6,0.00669,1.622
683,ECOLOGY,0012-9658,54009,4.656,6.155,0.734,316,>10.0,0.05891,2.479
684,J MOL CELL CARDIOL,0022-2828,12475,4.655,5.039,1.166,223,6.3,0.0284,1.572
685,TRENDS FOOD SCI TECH,0924-2244,7401,4.651,5.541,0.56,75,8.7,0.00792,1.401
686,EPIGENOMICS-UK,1750-1911,1076,4.649,4.935,0.366,41,3.3,0.00511,1.494
687,PHYS REV D,1550-7998,143353,4.643,3.865,1.776,3409,6.8,0.26553,1.091
688,ACS SUSTAIN CHEM ENG,2168-0485,1314,4.642,4.642,1.011,354,1.3,0.00292,0.899
689,HORM BEHAV,0018-506X,9250,4.632,4.441,0.61,146,7.1,0.01939,1.418
690,J BREATH RES,1752-7155,1154,4.631,4.383,1.392,51,3.2,0.00232,0.724
691,PLOS COMPUT BIOL,1553-734X,16444,4.62,5.279,0.807,548,4.3,0.08256,2.338
692,PIGM CELL MELANOMA R,1755-1471,3873,4.619,5.055,0.736,91,6.4,0.00892,1.611
693,CLIN J AM SOC NEPHRO,1555-9041,10854,4.613,5.466,1.016,244,4.5,0.04195,1.878
694,EVOLUTION,0014-3820,32858,4.612,5.251,1.066,287,>10.0,0.05061,2.207
695,FARADAY DISCUSS,1359-6640,6924,4.606,4.39,1.152,165,7.8,0.01666,1.674
696,FORENSIC SCI INT-GEN,1872-4973,2388,4.604,4.028,0.66,162,3.2,0.00481,0.645
697,MOL NUTR FOOD RES,1613-4125,7387,4.603,4.77,0.853,217,4.8,0.01695,1.11
698,BEST PRACT RES CL EN,1521-690X,2984,4.602,5.026,1,66,5.1,0.00873,1.604
699,CHROMOSOMA,0009-5915,3334,4.602,3.726,0.667,48,>10.0,0.00627,1.59
700,CIRC-CARDIOVASC GENE,1942-325X,2153,4.6,5.254,0.781,105,3.7,0.01236,2.077
701,BRAIN IMAGING BEHAV,1931-7557,806,4.598,3.699,0.786,56,2.7,0.0037,1.249
702,CURR OPIN PHARMACOL,1471-4892,5490,4.595,5.203,0.51,104,5.8,0.01446,1.676
703,BIOFACTORS,0951-6433,2788,4.592,4.226,0.678,59,6.6,0.00505,1.071
704,NEUROPSYCHOL REV,1040-7308,2028,4.592,7.531,1.172,29,6,0.00511,2.471
705,AM J PATHOL,0002-9440,39901,4.591,5.071,0.831,295,>10.0,0.06689,1.73
706,SLEEP,0161-8105,16335,4.591,5.753,1.026,196,8.5,0.02762,1.986
707,FERTIL STERIL,0015-0282,31236,4.59,4.255,0.965,490,6.9,0.05759,1.16
708,J BIOGEOGR,0305-0270,12352,4.59,5.118,0.943,192,7.7,0.02635,1.833
709,CHEM-ASIAN J,1861-4728,9401,4.587,4.588,1.269,428,3.4,0.02828,1.106
710,J BIOL CHEM,0021-9258,396051,4.573,4.693,0.892,3007,>10.0,0.54282,1.739
711,PEDIATR OBES,2047-6310,628,4.573,4.597,0.671,73,2,0.00292,1.48
712,J AM GERIATR SOC,0002-8614,24352,4.572,4.939,0.832,292,9.3,0.03885,1.687
713,QUATERNARY SCI REV,0277-3791,16740,4.572,5.039,1.305,321,6.9,0.03906,1.805
714,ADV VIRUS RES,0065-3527,1698,4.571,4.561,1,12,9.1,0.00289,1.59
715,EPILEPSIA,0013-9580,22358,4.571,4.424,0.982,279,7.6,0.04223,1.329
716,NUCL DATA SHEETS,0090-3752,1581,4.571,6.388,0.547,358,5.6,0.00379,2.309
717,HUM REPROD,0268-1161,28113,4.569,4.729,0.99,304,8.9,0.04172,1.357
718,CELL CYCLE,1538-4101,16961,4.565,4.641,0.914,361,5.1,0.05629,1.582
719,J APPL ECOL,0021-8901,13831,4.564,5.929,0.857,175,8.6,0.02588,2.168
720,CLIN RES CARDIOL,1861-0684,2206,4.56,3.631,1.29,93,3.2,0.00766,1.009
721,MABS-AUSTIN,1942-0862,1689,4.558,4.814,0.924,145,3,0.0069,1.343
722,CHEMCATCHEM,1867-3880,6593,4.556,5.213,1.029,441,2.7,0.0239,1.278
723,J CARDIOVASC MAGN R,1097-6647,2663,4.556,4.28,0.583,96,4.2,0.01116,1.736
724,JAIDS-J ACQ IMM DEF,1525-4135,14351,4.556,4.531,1.226,337,6.1,0.03934,1.672
725,AM J PUBLIC HEALTH,0090-0036,29771,4.552,5.101,1.029,522,9.8,0.05749,2.145
726,J CHEMINFORMATICS,1758-2946,852,4.547,4.935,0.396,48,3.1,0.00361,1.35
727,CLIN EPIGENETICS,1868-7083,431,4.543,,0.586,29,2.9,0.0019,
728,J HAZARD MATER,0304-3894,61547,4.529,5.277,0.657,711,5.4,0.12895,1.106
729,AM J PREV MED,0749-3797,15857,4.527,5.395,1.14,215,6.7,0.04159,2.117
730,J MAMMARY GLAND BIOL,1083-3021,2267,4.526,6.077,0.684,19,7.7,0.00433,1.902
731,J INF TECHNOL,0268-3962,1386,4.525,5.348,0.526,19,6.7,0.00387,2.113
732,J GASTROENTEROL,0944-1174,6336,4.523,4.215,1.182,154,5.6,0.01328,1.092
733,ANAL CHIM ACTA,0003-2670,42070,4.513,4.667,0.817,569,7.6,0.05742,1.066
734,BIOCONJUGATE CHEM,1043-1802,14391,4.513,4.676,0.861,245,6.5,0.02545,1.194
735,CIRC-ARRHYTHMIA ELEC,1941-3149,3666,4.513,5.52,0.971,139,3.5,0.02209,2.406
736,MOL THER-NUCL ACIDS,2162-2531,600,4.512,4.528,0.592,71,1.9,0.00247,1.262
737,INT J BIOL SCI,1449-2288,2611,4.509,4.195,0.554,112,3.4,0.00936,1.172
738,MOL MED,1076-1551,4481,4.508,4.844,0.769,52,6,0.01141,1.575
739,CELL ADHES MIGR,1933-6918,1391,4.505,3.515,0.581,62,3.6,0.00648,1.212
740,ELECTROCHIM ACTA,0013-4686,67465,4.504,4.578,0.851,2203,5.5,0.10421,0.883
741,J ANIM ECOL,0021-8790,13619,4.504,5.316,1.097,144,>10.0,0.02253,2.142
742,ENDOCRINOLOGY,0013-7227,45093,4.503,4.622,0.927,437,9.9,0.0607,1.446
743,BIORESOURCE TECHNOL,0960-8524,65083,4.494,5.33,0.822,1491,4.6,0.12661,1.041
744,WIRES NANOMED NANOBI,1939-5116,1268,4.494,5.178,1.095,42,3.9,0.00475,1.263
745,PHYS CHEM CHEM PHYS,1463-9076,60356,4.493,4.219,0.991,2880,3.9,0.17972,1.208
746,THYROID,1050-7256,8834,4.493,5.282,1.01,196,5.8,0.02014,1.477
747,LITHOS,0024-4937,13072,4.482,4.903,0.814,322,6.3,0.02922,1.502
748,ANTIMICROB AGENTS CH,0066-4804,50371,4.476,4.54,1.016,1005,7.7,0.0936,1.359
749,CLIN NUTR,0261-5614,6603,4.476,4.533,0.762,164,6.4,0.01299,1.263
750,CRIT CARE,1466-609X,13898,4.476,5.14,1.075,227,4.9,0.04503,1.755
751,RHEUMATOLOGY,1462-0324,15066,4.475,4.592,1.047,278,6.4,0.03161,1.374
752,STAT METHODS MED RES,0962-2802,2454,4.472,3.734,1.281,32,>10.0,0.00702,2.61
753,J UROLOGY,0022-5347,46523,4.471,4.101,1.131,458,9.6,0.06601,1.268
754,CURR OPIN ONCOL,1040-8746,2991,4.466,3.558,0.924,92,5.1,0.00816,1.122
755,MOL BIOL CELL,1059-1524,31240,4.466,4.806,0.862,370,8.4,0.06969,2.188
756,ACTA MATER,1359-6454,44197,4.465,4.869,0.887,697,7.6,0.09057,1.675
757,INFLAMM BOWEL DIS,1078-0998,11218,4.464,5.216,0.779,267,4.8,0.02928,1.406
758,TOP CURR CHEM,0340-1022,5774,4.464,5.325,5.385,13,8,0.01233,1.836
759,AM HEART J,0002-8703,20060,4.463,4.395,0.797,232,8.8,0.04559,2.007
760,ELEMENTS,1811-5209,1866,4.463,4.263,2.475,40,5.9,0.00618,1.961
761,LANGMUIR,0743-7463,118847,4.457,4.543,0.682,1850,7.2,0.18487,1.095
762,J AM ACAD DERMATOL,0190-9622,20034,4.449,4.523,1.103,263,9.7,0.02576,1.293
763,TISSUE ENG,2152-4947,19620,4.448,4.916,0.86,457,5.4,0.04228,1.201
764,J BIOPHOTONICS,1864-063X,1702,4.447,3.793,0.99,96,3.2,0.00636,1.046
765,PLOS NEGLECT TROP D,1935-2735,11704,4.446,4.931,0.71,746,3.2,0.04698,1.433
766,CANCER PREV RES,1940-6207,4154,4.444,4.658,1.046,130,3.6,0.01848,1.466
767,J INFECTION,0163-4453,5226,4.441,3.982,1.08,163,6.2,0.01301,1.369
768,J VIROL,0022-538X,95267,4.439,4.609,1.313,1268,8.7,0.15586,1.455
769,INVEST RADIOL,0020-9996,5463,4.437,4.418,0.745,102,6.8,0.01294,1.525
770,J CLIMATE,0894-8755,35968,4.435,5.357,0.868,539,8.1,0.08646,2.295
771,J EXP CLIN CANC RES,1756-9966,3370,4.429,3.731,0.748,107,4.3,0.00817,0.79
772,JAMA DERMATOL,2168-6068,701,4.426,4.426,0.846,130,1.4,0.00304,1.482
773,J PETROL,0022-3530,11969,4.424,5.526,0.831,83,>10.0,0.01474,2.184
774,CORROS SCI,0010-938X,24492,4.422,4.831,0.984,495,6.4,0.03093,0.855
775,J LIPID RES,0022-2275,21622,4.421,5.175,1.104,241,8.5,0.04292,1.815
776,ENVIRON MODELL SOFTW,1364-8152,7249,4.42,4.359,0.845,264,5.3,0.01545,1.105
777,MOL MICROBIOL,0950-382X,36696,4.419,4.764,0.961,356,9.8,0.05936,1.882
778,PHARMACOL RES,1043-6618,6600,4.408,4.409,0.686,102,6.7,0.01237,1.169
779,DEPRESS ANXIETY,1091-4269,6059,4.407,5.434,1.009,108,5.3,0.01847,1.836
780,MOL CELL ENDOCRINOL,0303-7207,12922,4.405,4.105,1.153,287,5.7,0.03151,1.249
781,ARCH OPHTHALMOL-CHIC,0003-9950,17678,4.399,4.372,,0,>10.0,0.01847,1.592
782,BRAIN STIMUL,1935-861X,1920,4.399,4.737,0.949,117,2.9,0.00683,1.431
783,BIOCHEM J,0264-6021,49955,4.396,4.66,0.894,368,>10.0,0.06139,1.75
784,MOL PHARMACEUT,1543-8384,9898,4.384,4.961,0.629,423,3.8,0.02742,1.184
785,ANN NY ACAD SCI,0077-8923,45541,4.383,3.838,1.106,246,9.9,0.06678,1.368
786,INT J NANOMED,1178-2013,7954,4.383,4.742,0.524,481,2.9,0.02003,0.927
787,ACTA PHYSIOL,1748-1708,3347,4.382,3.857,1.189,143,3.7,0.01019,1.02
788,BBA-GEN SUBJECTS,0304-4165,10154,4.381,4.555,1.393,354,5.9,0.02223,1.351
789,ENERG CONVERS MANAGE,0196-8904,20440,4.38,4.512,1.262,989,5.8,0.02459,0.741
790,MOL CANCER RES,1541-7786,6733,4.38,4.86,1.019,162,5.4,0.0192,1.567
791,ASTRON ASTROPHYS,0004-6361,101265,4.378,4.158,2.041,1735,7.5,0.28064,1.888
792,OMEGA-INT J MANAGE S,0305-0483,4546,4.376,4.139,1.011,93,7.3,0.00792,1.235
793,ENVIRON RES,0013-9351,7914,4.373,4.234,0.401,282,7.7,0.01403,1.35
794,NEUROENDOCRINOLOGY,0028-3835,4204,4.373,3.615,0.26,50,>10.0,0.00582,1.066
795,EUR NEUROPSYCHOPHARM,0924-977X,5171,4.369,4.754,0.799,189,5.2,0.01261,1.373
796,RADIOTHER ONCOL,0167-8140,12939,4.363,4.502,0.963,300,5.8,0.03171,1.381
797,ACS CHEM NEUROSCI,1948-7193,1877,4.362,4.363,1.024,126,2.4,0.0084,1.32
798,AM J SPORT MED,0363-5465,20779,4.362,5.084,0.845,336,7.8,0.03715,1.524
799,J INNATE IMMUN,1662-811X,1360,4.352,4.484,1.096,73,3.5,0.00691,1.523
800,TRAFFIC,1398-9219,6541,4.35,4.336,1.036,83,6.5,0.02007,1.916
801,EUR J HUM GENET,1018-4813,8090,4.349,3.939,1.498,219,5.4,0.02522,1.488
802,DRUGS,0012-6667,8912,4.343,4.099,1.013,155,9.2,0.01425,1.198
803,J MOL BIOL,0022-2836,66318,4.333,3.702,1.483,296,>10.0,0.08483,1.659
804,GEOCHIM COSMOCHIM AC,0016-7037,52474,4.331,4.933,1.121,539,>10.0,0.06747,1.815
805,AUTISM RES,1939-3792,1209,4.33,4.822,0.318,66,3.9,0.00555,1.677
806,EXP DIABETES RES,1687-5214,1258,4.325,3.908,,0,2.9,0.00465,1.075
807,CHEM ENG J,1385-8947,34076,4.321,4.621,1.048,1255,3.7,0.07972,0.944
808,ULTRASON SONOCHEM,1350-4177,7550,4.321,4.391,1.438,281,5,0.0112,0.793
809,CELL SIGNAL,0898-6568,9610,4.315,4.154,0.884,319,5.3,0.02537,1.314
810,J AM HEART ASSOC,2047-9980,1707,4.306,4.318,0.789,247,1.7,0.00983,1.784
811,EXPERT OPIN THER PAT,1354-3776,2275,4.297,3.335,0.634,101,3.9,0.00709,0.894
812,INT J ANTIMICROB AG,0924-8579,8473,4.296,4.307,0.805,169,5.7,0.02046,1.259
813,RECENT PAT ANTI-CANC,1574-8928,547,4.295,2.909,0.727,22,4.4,0.00142,0.738
814,IEEE T NEUR NET LEAR,2162-237X,11936,4.291,4.72,0.637,190,8.6,0.01966,1.376
815,BIOFABRICATION,1758-5082,839,4.289,4.752,0.681,72,3.1,0.00314,1.197
816,CURR OPIN GASTROEN,0267-1379,2313,4.289,3.696,1.035,86,4.4,0.0073,1.17
817,FRONT CELL NEUROSCI,1662-5102,1941,4.289,4.289,0.711,395,1.6,0.00818,1.349
818,J LEUKOCYTE BIOL,0741-5400,16298,4.289,4.705,0.701,197,8.1,0.02977,1.713
819,J NEUROCHEM,0022-3042,36434,4.281,3.974,1.003,310,9.6,0.0453,1.196
820,BRIT J DERMATOL,0007-0963,20484,4.275,3.984,1.065,339,8.3,0.03251,1.168
821,FUTURE MICROBIOL,1746-0913,2408,4.275,4.062,0.389,95,3.8,0.0106,1.293
822,APPL SPECTROSC REV,0570-4928,1131,4.271,3.956,1.259,27,6.8,0.00187,1.031
823,CRIT REV THER DRUG,0743-4863,1050,4.259,3.492,0.667,15,>10.0,0.00071,0.727
824,EXERC SPORT SCI REV,0091-6331,2532,4.259,5.444,1,24,9.7,0.00394,1.832
825,INT J RADIAT ONCOL,0360-3016,39876,4.258,4.359,1.148,427,7.6,0.07698,1.389
826,MOL CANCER,1476-4598,6350,4.257,5.22,0.758,256,4.5,0.01972,1.442
827,PLANT MOL BIOL,0167-4412,14156,4.257,4.573,0.752,141,>10.0,0.01372,1.232
828,MAMMAL REV,0305-1838,1514,4.256,4.284,1.286,21,9.9,0.00196,1.398
829,IEEE T SMART GRID,1949-3053,3560,4.252,5.719,0.377,302,2.8,0.0165,1.733
830,NEOPLASIA,1522-8002,6144,4.252,4.921,0.602,98,6.1,0.0149,1.565
831,J PROTEOME RES,1535-3893,19362,4.245,4.481,0.901,535,4.7,0.05622,1.288
832,LIVER TRANSPLANT,1527-6465,9357,4.241,3.921,0.899,159,7.3,0.01762,1.213
833,CANCER J,1528-9117,2444,4.237,3.503,0.524,63,5.3,0.00749,1.245
834,J MEM LANG,0749-596X,7285,4.237,4.257,0.676,68,>10.0,0.00908,1.81
835,AM J GERIAT PSYCHIAT,1064-7481,5503,4.235,4.409,0.909,176,6.3,0.01227,1.382
836,GENOME BIOL EVOL,1759-6653,2718,4.229,4.529,0.726,259,2.7,0.01675,1.886
837,PHARMACOGENOMICS J,1470-269X,2394,4.229,4.11,1.064,78,5.3,0.00576,1.207
838,MICROB CELL FACT,1475-2859,3541,4.221,4.642,0.489,180,3.8,0.01066,1.163
839,VIRULENCE,2150-5594,1298,4.216,3.672,1.964,84,2.4,0.00594,1.211
840,BIOFUEL BIOPROD BIOR,1932-104X,1916,4.214,5.482,0.727,55,4.9,0.0051,1.443
841,EXPERT REV VACCINES,1476-0584,3147,4.21,3.879,0.898,118,4.2,0.01065,1.203
842,DALTON T,1477-9226,51579,4.197,3.982,1.086,1968,4.5,0.10165,0.824
843,GEOPHYS RES LETT,0094-8276,73341,4.196,4.406,0.783,1176,8.1,0.19235,2.17
844,RETROVIROLOGY,1742-4690,3288,4.185,3.725,1.805,113,4.1,0.01292,1.424
845,WORLD J BIOL PSYCHIA,1562-2975,1872,4.183,3.19,0.778,63,4.3,0.00616,0.888
846,COMPR REV FOOD SCI F,1541-4337,1651,4.182,6.479,0.791,67,4.9,0.00395,1.724
847,J NATL COMPR CANC NE,1540-1405,2805,4.178,4.71,0.4,155,3.8,0.01587,2.068
848,EXERC IMMUNOL REV,1077-5552,529,4.176,6.071,0,8,6.6,0.00105,1.572
849,STRUCT EQU MODELING,1070-5511,8987,4.176,7.206,0.304,46,>10.0,0.00995,3.787
850,INFECT CONT HOSP EP,0899-823X,10112,4.175,4.496,1.07,227,6.5,0.02306,1.512
851,BIOELECTROCHEMISTRY,1567-5394,3754,4.172,3.854,0.8,65,7,0.00527,0.834
852,J CHROMATOGR A,0021-9673,63850,4.169,4.298,0.623,1141,7.9,0.07335,0.847
853,OSTEOPOROSIS INT,0937-941X,13679,4.169,4.242,0.84,306,6.6,0.02906,1.282
854,J THORAC CARDIOV SUR,0022-5223,23757,4.168,4.068,0.933,659,7.9,0.05431,1.589
855,RESUSCITATION,0300-9572,9265,4.167,4.066,1.109,267,5.1,0.02155,1.099
856,AM J CANCER RES,2156-6976,738,4.165,4.247,0.385,78,2.8,0.00333,1.259
857,CONSERV BIOL,0888-8892,17614,4.165,5.199,0.935,168,>10.0,0.02382,2.065
858,OSTEOARTHR CARTILAGE,1063-4584,10443,4.165,4.692,0.73,230,6.2,0.02222,1.337
859,HIPPOCAMPUS,1050-9631,8156,4.162,4.51,0.849,146,7.8,0.01626,1.541
860,COLLOID SURFACE B,0927-7765,17302,4.152,4.4,0.833,742,4.2,0.03446,0.845
861,J ALZHEIMERS DIS,1387-2877,11601,4.151,4.365,1.097,526,3.9,0.03649,1.135
862,IMMUNOL CELL BIOL,0818-9641,3818,4.147,3.566,1.464,97,6.6,0.01004,1.375
863,J METAMORPH GEOL,0263-4929,4923,4.147,4.434,1.4,50,>10.0,0.006,1.503
864,ENVIRON POLLUT,0269-7491,26921,4.143,4.755,0.991,441,7,0.04408,1.213
865,J DENT RES,0022-0345,15443,4.139,4.688,0.81,195,>10.0,0.02137,1.366
866,MOL PHARMACOL,0026-895X,20210,4.128,4.385,0.956,160,9.7,0.02563,1.433
867,BIOTECHNOL BIOENG,0006-3592,23334,4.126,4.289,0.988,247,9.4,0.0311,1.186
868,ORGANOMETALLICS,0276-7333,42594,4.126,3.811,0.9,847,7.3,0.06273,0.873
869,CANCER EPIDEM BIOMAR,1055-9965,20307,4.125,4.57,0.774,310,7.3,0.04453,1.69
870,IMPLEMENT SCI,1748-5908,3322,4.122,4.624,0.444,178,3.9,0.01321,1.446
871,J NANOBIOTECHNOL,1477-3155,1405,4.115,,0.483,58,4,0.00314,
872,CELL MOL IMMUNOL,1672-7681,1744,4.112,3.526,1.172,58,4.6,0.0052,1.116
873,INFECT DIS POVERTY,2049-9957,206,4.111,4.111,1.812,32,1.5,0.00066,1.158
874,INT J BEHAV NUTR PHY,1479-5868,4829,4.111,5.596,0.545,156,4.2,0.01675,1.734
875,J NEUROIMMUNE PHARM,1557-1890,1761,4.11,3.872,0.655,58,3.8,0.0057,1.07
876,ANALYST,0003-2654,22742,4.107,4.14,0.846,805,4.3,0.04732,0.932
877,HELICOBACTER,1083-4389,2674,4.106,3.926,0.667,69,5.6,0.00419,0.746
878,EUR HEART J-CARD IMG,2047-2404,1211,4.105,4.124,0.904,157,1.8,0.00656,1.598
879,PRESLIA,0032-7786,1001,4.104,3.333,0.667,21,6.7,0.00135,0.674
880,INT REV IMMUNOL,0883-0185,1062,4.103,4.73,0.771,35,5.1,0.00299,1.49
881,PFLUG ARCH EUR J PHY,0031-6768,9672,4.101,4.136,1.068,190,9.2,0.01583,1.335
882,SCI TOTAL ENVIRON,0048-9697,39706,4.099,4.414,0.921,1751,6.3,0.0702,1.126
883,CURR TOP MICROBIOL,0070-217X,5106,4.097,4.149,0.367,128,6.7,0.01331,1.636
884,SENSOR ACTUAT B-CHEM,0925-4005,41690,4.097,4.286,1.192,1507,5.5,0.05778,0.753
885,ACM T GRAPHIC,0730-0301,10537,4.096,4.641,0.374,246,6.7,0.02905,1.876
886,ECOL APPL,1051-0761,18027,4.093,5.508,0.711,159,9.5,0.03025,2.052
887,OCEANOGR MAR BIOL,0078-3218,2205,4.091,6.607,0.167,6,>10.0,0.00106,2.389
888,FOOD HYDROCOLLOID,0268-005X,10107,4.09,4.637,1.024,370,5.8,0.0161,0.943
889,MED J AUSTRALIA,0025-729X,10268,4.089,3.445,1.297,158,8.1,0.01782,1.128
890,J COGNITIVE NEUROSCI,0898-929X,16870,4.085,5.259,0.871,217,8.1,0.0342,1.999
891,FRONT MOL NEUROSCI,1662-5099,1206,4.084,,1.022,91,2.8,0.006,
892,AM J PHYSIOL-LUNG C,1040-0605,13006,4.08,3.908,0.896,201,8,0.02017,1.224
893,CARBOHYD POLYM,0144-8617,30889,4.074,4.568,0.962,1162,4.4,0.05085,0.782
894,EUR J ENDOCRINOL,0804-4643,11140,4.069,3.936,0.732,231,6.6,0.0237,1.191
895,SURG OBES RELAT DIS,1550-7289,3158,4.066,3.973,0.602,161,4.2,0.0094,1.119
896,ADV OPT MATER,2195-1071,700,4.062,4.063,1.132,159,1.3,0.003,1.472
897,J AM SOC ECHOCARDIOG,0894-7317,9304,4.056,4.891,0.81,142,6.5,0.02286,1.696
898,EUR J NEUROL,1351-5101,7843,4.055,3.786,0.734,214,5.3,0.02095,1.176
899,INT J BIOCHEM CELL B,1357-2725,14177,4.046,4.371,0.671,301,6.8,0.02931,1.351
900,GENE CHROMOSOME CANC,1045-2257,5367,4.041,3.894,0.979,95,7.5,0.01137,1.373
901,ADV ECOL RES,0065-2504,1620,4.04,4.818,1.917,12,>10.0,0.00172,1.966
902,SOL PHYS,0038-0938,10016,4.039,3.214,1.189,264,>10.0,0.02519,1.6
903,INFORM SCIENCES,0020-0255,15616,4.038,4.221,0.722,859,4.8,0.02863,0.872
904,INT J CARDIOL,0167-5273,17992,4.036,4.093,1.991,553,3.5,0.04898,1.139
905,CRYSTENGCOMM,1466-8033,22861,4.034,4.022,0.988,1284,3,0.05199,0.717
906,EUR J IMMUNOL,0014-2980,20513,4.034,4.278,0.984,322,8.5,0.04372,1.689
907,IEEE IND ELECTRON M,1932-4529,475,4.031,4.823,0.294,17,4.2,0.00235,1.87
908,SEMIN RADIAT ONCOL,1053-4296,1924,4.029,4.124,0.351,37,7.9,0.00412,1.53
909,SOFT MATTER,1744-683X,27131,4.029,4.289,1.105,966,3.4,0.10169,1.226
910,CRIT REV ONCOL HEMAT,1040-8428,5103,4.027,3.968,1.23,100,6.7,0.01045,1.234
911,ASTRON J,0004-6256,32068,4.024,4.251,1.152,296,>10.0,0.07448,2.532
912,MOL ENDOCRINOL,0888-8809,13685,4.022,4.453,0.719,153,9.1,0.02062,1.51
913,ASN NEURO,1759-0914,557,4.017,4.137,0.625,24,3.2,0.0029,1.391
914,CARDIOVASC DIABETOL,1475-2840,2813,4.015,3.659,0.83,159,2.9,0.00808,0.84
