Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact Factor,5-Year Impactor Factor,Immediacy Index,Articles,Cited Half-life,EigenfactorTM Score,Article InfluenceTM Score
1277,BLOOD TRANSFUS-ITALY,1723-2007,297,2.099,,0.322,59,2.3,0.00119,
1278,BLUMEA,0006-5196,415,0.699,0.658,0.176,34,>10.0,0.00078,0.218
1279,BMB REP,1976-6696,826,1.718,2.003,0.157,127,2.8,0.00439,0.597
1280,BMC BIOCHEM,1471-2091,718,1.988,,0.182,66,4.6,0.00332,
1281,BMC BIOINFORMATICS,1471-2105,14268,2.751,3.493,0.293,557,4.2,0.07757,1.314
1282,BMC BIOL,1741-7007,2193,5.75,5.841,1.042,48,3,0.01674,2.778
1283,BMC BIOPHYS,2046-1682,6,,,0.333,18,,0,
1284,BMC BIOTECHNOL,1472-6750,1756,2.349,3.081,0.222,126,4.2,0.00721,0.913
1285,BMC CANCER,1471-2407,7853,3.011,3.26,0.337,520,3.2,0.03832,1.008
1286,BMC CARDIOVASC DISOR,1471-2261,623,1.517,,0.104,77,4.1,0.00357,
1287,BMC CELL BIOL,1471-2121,1475,2.589,3.011,0.4,55,3.9,0.00758,1.117
1288,BMC COMPLEM ALTERN M,1472-6882,1068,2.241,,0.222,135,4,0.00286,
1289,BMC DEV BIOL,1471-213X,2140,2.79,3.316,0.378,74,4.2,0.01365,1.439
1290,BMC ENDOCR DISORD,1472-6823,193,2.163,,0.211,19,3,0.00097,
1291,BMC EVOL BIOL,1471-2148,7405,3.521,4.592,0.519,366,3.7,0.04718,1.833
1292,BMC FAM PRACT,1471-2296,977,1.799,,0.049,142,4.3,0.00449,
1293,BMC GASTROENTEROL,1471-230X,1226,2.422,2.581,0.207,145,3,0.00534,0.744
1294,BMC GENET,1471-2156,1823,2.475,2.638,0.417,103,4.4,0.00725,0.903
1295,BMC GENOMICS,1471-2164,14580,4.073,4.328,0.711,626,3.2,0.08062,1.475
1296,BMC HEALTH SERV RES,1472-6963,3262,1.66,2.254,0.182,346,3.8,0.01776,0.778
1297,BMC IMMUNOL,1471-2172,928,2.531,2.797,0.292,72,3.5,0.00455,0.95
1298,BMC INFECT DIS,1471-2334,4167,3.118,3.236,0.333,357,3.3,0.02103,1.071
1299,BMC MED,1741-7015,1835,6.035,5.768,0.825,114,2.9,0.00967,2.106
1300,BMC MED EDUC,1472-6920,668,1.152,,0.019,105,4.5,0.00315,
1301,BMC MED ETHICS,1472-6939,200,1.737,,0.333,24,3.6,0.00089,
1302,BMC MED GENET,1471-2350,1825,2.328,2.48,0.26,173,3.4,0.00951,0.828
1303,BMC MED GENOMICS,1755-8794,827,3.693,3.879,0.607,84,2.6,0.00526,1.437
1304,BMC MED INFORM DECIS,1472-6947,739,1.477,,0.169,77,3.9,0.00398,
1305,BMC MED RES METHODOL,1471-2288,2259,2.668,,0.231,173,5.1,0.01103,
1306,BMC MICROBIOL,1471-2180,4355,3.044,3.375,0.451,264,3.2,0.02129,1.079
1307,BMC MOL BIOL,1471-2199,1950,2.857,3.401,0.321,53,3.8,0.01129,1.239
1308,BMC MUSCULOSKEL DIS,1471-2474,2444,1.577,2.324,0.172,285,3.9,0.01159,0.738
1309,BMC NEPHROL,1471-2369,391,2.176,,,,3.5,0.00185,
1310,BMC NEUROL,1471-2377,1081,2.167,2.63,0.214,154,3.5,0.00544,0.892
1311,BMC NEUROSCI,1471-2202,2912,3.042,3.232,0.391,128,3.8,0.01425,1.139
1312,BMC OPHTHALMOL,1471-2415,303,1,,0.122,41,5,0.00127,
1313,BMC PEDIATR,1471-2431,990,1.885,,0.183,120,3.8,0.00437,
1314,BMC PLANT BIOL,1471-2229,3198,3.447,4.181,0.549,184,3,0.01556,1.258
1315,BMC PREGNANCY CHILDB,1471-2393,858,2.834,,0.24,104,3,0.00571,
1316,BMC PSYCHIATRY,1471-244X,1629,2.552,2.892,0.228,197,3.8,0.00748,0.958
1317,BMC PUBLIC HEALTH,1471-2458,7096,1.997,2.518,0.271,1009,3.5,0.0362,0.822
1318,BMC STRUCT BIOL,1472-6807,975,2.476,2.863,0.388,49,3.8,0.00626,1.172
1319,BMC SURG,1471-2482,306,1.333,,0.243,37,4.3,0.00129,
1320,BMC SYST BIOL,1752-0509,1734,3.148,3.544,0.346,214,2.6,0.01054,1.229
1321,BMC VET RES,1746-6148,604,2,,0.312,77,3.4,0.00299,
1322,BMJ QUAL SAF,2044-5415,119,,,0.667,165,0.5,0.00001,
1323,BOIS FOR TROP,0006-579X,207,0.439,,0.048,21,9.7,0.00033,
1324,BOL INST PESCA,0046-9939,221,0.223,,0,39,8.4,0.0004,
1325,BOL SOC ESP CERAM V,0366-3175,228,0.432,0.396,0.064,47,5.8,0.00054,0.101
1326,BONE,8756-3282,15996,4.023,4.463,0.876,340,7,0.04013,1.425
1327,BONE MARROW TRANSPL,0268-3369,10259,3.746,3.313,1.133,195,7.4,0.02199,1.011
1328,BOREAL ENVIRON RES,1239-6095,1012,1.803,1.878,0.444,63,5.4,0.00324,0.634
1329,BOREAS,0300-9483,1611,1.91,2.699,0.396,48,8.1,0.00393,0.935
1330,BOSNIAN J BASIC MED,1512-8601,152,0.489,,0.125,48,3.3,0.00048,
1331,BOSQUE,0304-8799,188,0.429,,0.061,33,8.4,0.00025,
1332,BOT HELV,0253-1453,197,0.938,0.914,,0,9.1,0.00037,0.246
1333,BOT J LINN SOC,0024-4074,3042,2.821,1.85,0.6,65,8.5,0.00668,0.611
1334,BOT MAR,0006-8055,1983,1.493,1.628,0.179,56,>10.0,0.00222,0.441
1335,BOT REV,0006-8101,1864,3.056,3.366,0.379,29,>10.0,0.00167,1.279
1336,BOT STUD,1817-406X,320,1.103,1.138,0.25,56,3.3,0.001,0.209
1337,BOTANY,1916-2790,555,1.251,1.373,0.165,79,2.9,0.00291,0.44
1338,BOTHALIA,0006-8241,385,1,1.267,0.2,15,>10.0,0.00049,0.353
1339,BOUND VALUE PROBL,1687-2770,557,0.911,0.879,0.257,105,>10.0,0.00191,0.421
1340,BOUND-LAY METEOROL,0006-8314,4629,1.737,2.318,0.381,97,>10.0,0.00837,0.898
1341,BRACHYTHERAPY,1538-4721,565,1.466,1.762,0.36,75,4.3,0.00215,0.557
1342,BRADLEYA,0265-086X,66,0.296,,0.333,18,,0.00007,
1343,BRAIN,0006-8950,38614,9.457,10.545,1.885,269,7.8,0.09993,3.919
1344,BRAIN BEHAV EVOLUT,0006-8977,2172,2.215,2.364,0.45,40,>10.0,0.00343,0.861
1345,BRAIN BEHAV IMMUN,0889-1591,4819,4.72,4.946,1.288,198,4.2,0.01561,1.421
1346,BRAIN COGNITION,0278-2626,5100,3.174,3.495,0.347,147,7.4,0.01274,1.225
1347,BRAIN DEV-JPN,0387-7604,2870,2.119,1.862,0.543,129,6.9,0.0067,0.586
1348,BRAIN IMAGING BEHAV,1931-7557,182,1.661,1.692,0.133,30,2.8,0.00118,0.615
1349,BRAIN INJURY,0269-9052,3406,1.36,1.906,0.245,139,7.4,0.00592,0.481
1350,BRAIN LANG,0093-934X,4852,3.115,3.342,0.357,70,9.4,0.00839,1.212
1351,BRAIN PATHOL,1015-6305,3852,3.995,4.767,1.302,63,6.8,0.01076,1.646
1352,BRAIN RES,0006-8993,59237,2.728,2.739,0.592,937,>10.0,0.09383,0.853
1353,BRAIN RES BULL,0361-9230,8602,2.818,2.605,0.536,179,9.9,0.01377,0.749
1354,BRAIN RES REV,0165-0173,8773,10.342,9.199,1.372,43,7.6,0.02256,3.354
1355,BRAIN STIMUL,1935-861X,518,3.755,6,0.667,39,3.1,0.00313,2.101
1356,BRAIN STRUCT FUNCT,1863-2653,831,5.628,6.061,0.833,42,2.5,0.00577,2.396
1357,BRAIN TOPOGR,0896-0267,1174,3.455,3.095,0.73,37,8.1,0.003,1.111
1358,BRAIN TUMOR PATHOL,1433-7398,294,1.194,1.566,0.327,52,6,0.00067,0.442
1359,BRATISL MED J,0006-9248,446,0.403,,0.081,148,4.4,0.00108,
1360,BRAZ ARCH BIOL TECHN,1516-8913,1211,0.551,0.638,0.033,150,6.2,0.0022,0.135
1361,BRAZ J BIOL,1519-6984,1081,0.688,,0.138,116,5.3,0.00291,
1362,BRAZ J CHEM ENG,0104-6632,705,0.637,1.037,0.014,70,6.2,0.00161,0.268
1363,BRAZ J INFECT DIS,1413-8670,939,1.005,,0.093,107,4.8,0.00273,
1364,BRAZ J MED BIOL RES,0100-879X,4087,1.129,1.381,0.152,171,8.1,0.00621,0.371
1365,BRAZ J MICROBIOL,1517-8382,1194,0.896,1.037,0.075,200,5.1,0.00241,0.192
1366,BRAZ J OCEANOGR,1679-8759,155,0.39,0.606,0.111,54,4.7,0.00049,0.158
1367,BRAZ J PHARM SCI,1984-8250,313,0.276,,0.059,68,5.4,0.00065,
1368,BRAZ J PHYS,0103-9733,907,0.754,0.497,0.109,46,6.5,0.00268,0.181
1369,BRAZ J POULTRY SCI,1516-635X,190,0.362,,0,32,5.6,0.00037,
1370,BRAZ J PROBAB STAT,0103-0752,51,0.256,,0.042,24,,0.00036,
1371,BREAST,0960-9776,2026,2.491,2.227,0.696,102,5,0.00663,0.689
1372,BREAST CANCER RES,1465-542X,6483,5.245,6.091,0.733,172,4.7,0.02651,2.183
1373,BREAST CANCER RES TR,0167-6806,12507,4.431,4.351,0.955,554,4,0.04432,1.39
1374,BREAST CANCER-TOKYO,1340-6868,818,1.363,,0.163,49,5.7,0.00232,
1375,BREAST CARE,1661-3791,126,0.446,0.402,0.393,61,2.6,0.00045,0.096
1376,BREAST J,1075-122X,1836,1.643,2.178,0.207,92,5.5,0.00633,0.698
1377,BREASTFEED MED,1556-8253,309,1.651,1.76,0.778,45,2.8,0.00164,0.581
1378,BREEDING SCI,1344-7610,987,1.248,1.451,0.25,52,6.7,0.00215,0.41
1379,BRIEF BIOINFORM,1467-5463,2859,5.202,7.749,0.692,65,4.3,0.01129,2.857
1380,BRIEF FUNCT GENOMICS,2041-2649,1031,4.126,4.04,0.308,39,3.7,0.00547,1.481
1381,BRIT DENT J,0007-0610,3128,0.915,1.085,0.589,129,>10.0,0.0035,0.274
1382,BRIT FOOD J,0007-070X,1065,0.703,0.97,0.079,89,7.8,0.00169,0.249
1383,BRIT J ANAESTH,0007-0912,11983,4.243,3.848,1.4,235,7.9,0.02246,1.071
1384,BRIT J BIOMED SCI,0967-4845,417,0.923,0.854,0.1,30,7.8,0.0007,0.213
1385,BRIT J CANCER,0007-0920,35335,5.042,4.955,0.749,541,7.5,0.08263,1.643
1386,BRIT J CLIN PHARMACO,0306-5251,8452,2.958,3.227,0.866,186,8.6,0.01553,0.953
1387,BRIT J DERMATOL,0007-0963,18754,3.666,3.944,0.836,335,8,0.03696,1.147
1388,BRIT J GEN PRACT,0960-1643,3513,1.831,2.179,1.252,151,7.8,0.00691,0.758
1389,BRIT J HAEMATOL,0007-1048,20380,4.941,4.523,0.785,265,8,0.0498,1.669
1390,BRIT J HOSP MED,1750-8460,408,0.19,0.169,0.07,143,>10.0,0.00091,0.051
1391,BRIT J MATH STAT PSY,0007-1102,825,1.314,1.489,0.25,28,>10.0,0.00287,1.123
1392,BRIT J NEUROSURG,0268-8697,2023,0.884,1.137,0.138,145,10,0.00366,0.368
1393,BRIT J NUTR,0007-1145,15036,3.013,3.342,0.519,472,6.9,0.03405,0.95
1394,BRIT J OPHTHALMOL,0007-1161,14537,2.902,2.989,0.659,331,8.5,0.03191,1.033
1395,BRIT J ORAL MAX SURG,0266-4356,3041,1.95,1.514,0.14,143,8.4,0.00511,0.352
1396,BRIT J PHARMACOL,0007-1188,26147,4.409,4.635,1.147,435,8,0.05387,1.335
1397,BRIT J PHILOS SCI,0007-0882,803,1.097,1.364,0.161,31,>10.0,0.0018,0.636
1398,BRIT J PSYCHIAT,0007-1250,20364,6.619,6.606,1.383,128,>10.0,0.03444,2.334
1399,BRIT J RADIOL,0007-1285,6015,1.314,2.104,0.276,217,9.5,0.01075,0.698
1400,BRIT J SPORT MED,0306-3674,7592,4.144,3.79,1.104,193,5.9,0.018,1.016
1401,BRIT J SURG,0007-1323,18702,4.606,4.931,0.918,208,>10.0,0.03013,1.616
1402,BRIT MED BULL,0007-1420,3064,4.543,4.353,0.787,47,>10.0,0.00382,1.246
1403,BRIT MED J,0959-535X,74759,14.093,13.511,7.992,261,10,0.14426,5.404
1404,BRIT POULTRY SCI,0007-1668,3518,1.005,1.446,0.092,98,>10.0,0.00334,0.385
1405,BRITTONIA,0007-196X,631,0.475,0.493,0.062,64,>10.0,0.00083,0.219
1406,BRODOGRADNJA,0007-215X,9,0.03,,0.067,15,,0.00004,
1407,BRYOLOGIST,0007-2745,1518,0.902,1.038,0.194,67,>10.0,0.00142,0.265
1408,BUFFALO BULL,0125-6726,41,0.102,,0,17,,0.00011,
1409,BUILD ENVIRON,0360-1323,5339,2.4,2.281,0.491,265,4.7,0.01672,0.64
1410,BUILD RES INF,0961-3218,635,1.476,1.372,0.244,45,6,0.00143,0.348
1411,BUILD SERV ENG RES T,0143-6244,239,0.46,0.771,0.13,23,7.3,0.00054,0.248
1412,BUILD SIMUL-CHINA,1996-3599,72,0.815,0.8,0.133,30,,0.00028,0.177
1413,BULG CHEM COMMUN,0324-1130,70,0.283,,0.059,51,,0.00012,
1414,BULG J AGRIC SCI,1310-0351,122,0.189,,0,108,4.5,0.00022,
1415,BUNDESGESUNDHEITSBLA,1436-9990,1090,0.658,,0.183,169,4.6,0.00303,
1416,BUNSEKI KAGAKU,0525-1931,658,0.43,0.376,0.07,115,7.8,0.00123,0.102
1417,BURNS,0305-4179,4313,1.962,1.978,0.173,196,7.3,0.00714,0.447
1418,BUS INFORM SYST ENG+,1867-0202,140,0.656,0.45,0.167,24,4.2,0.00022,0.063
1419,BWK-ENERGIE-FACHMAG,1618-193X,60,0.056,0.031,0.108,37,,0.00005,0.008
1420,CA-CANCER J CLIN,0007-9235,10976,101.78,67.41,21.263,19,3.8,0.04502,24.502
1421,CAD SAUDE PUBLICA,0102-311X,3863,0.889,,0.129,264,6.2,0.00864,
1422,CAH AGRIC,1166-7699,277,0.305,0.32,1.051,59,5.2,0.00049,0.086
1423,CAH BIOL MAR,0007-9723,674,0.708,0.753,0.549,51,>10.0,0.0008,0.195
1424,CALC VAR PARTIAL DIF,0944-2669,1029,1.235,1.139,0.309,68,7,0.00868,1.312
1425,CALCIFIED TISSUE INT,0171-967X,6418,2.376,2.682,0.269,108,>10.0,0.00879,0.901
1426,CALCOLO,0008-0624,249,0.808,0.845,0.111,18,>10.0,0.0008,0.611
1427,CALIF AGR,0008-0845,527,0.814,,0.167,30,>10.0,0.00088,
1428,CALIF FISH GAME,0008-1078,330,0.147,0.235,0,12,>10.0,0.00013,0.089
1429,CALPHAD,0364-5916,1703,1.669,1.631,0.115,78,9.5,0.00399,0.611
1430,CAMB Q HEALTHC ETHIC,0963-1801,310,0.494,0.67,0.793,29,6.4,0.0009,0.261
1431,CAN ASSOC RADIOL J,0846-5371,358,0.691,0.787,0.25,36,7.1,0.00075,0.243
1432,CAN ENTOMOL,0008-347X,2493,0.848,0.857,0.158,57,>10.0,0.00156,0.296
1433,CAN FAM PHYSICIAN,0008-350X,1697,1.408,1.589,1.771,105,4.7,0.00382,0.403
1434,CAN FIELD NAT,0008-3550,620,0.043,0.134,0.059,17,>10.0,0.00026,0.049
1435,CAN GEOTECH J,0008-3674,3263,0.867,1.041,0.168,137,>10.0,0.00581,0.586
1436,CAN J AGR ECON,0008-3976,391,1.017,1.099,0.167,30,6.3,0.00122,0.41
1437,CAN J ANESTH,0832-610X,4037,2.346,2.1,1.117,103,9.4,0.00669,0.675
1438,CAN J ANIM SCI,0008-3984,1771,0.77,0.994,0.092,65,>10.0,0.00175,0.276
1439,CAN J CARDIOL,0828-282X,2464,3.358,2.255,1.436,117,5.5,0.00643,0.681
1440,CAN J CHEM,0008-4042,8757,1.242,1.23,0.28,182,>10.0,0.00508,0.327
1441,CAN J CHEM ENG,0008-4034,2822,0.748,0.87,0.095,158,>10.0,0.00271,0.278
1442,CAN J CIVIL ENG,0315-1468,1325,0.334,0.475,0.075,133,9.3,0.00323,0.23
1443,CAN J DIABETES,1499-2671,286,0.686,,0.5,24,3.9,0.00098,
1444,CAN J DIET PRACT RES,1486-3847,205,0.811,0.647,0.027,37,5.7,0.00046,0.149
1445,CAN J EARTH SCI,0008-4077,4180,1.119,1.162,0.25,84,>10.0,0.00374,0.473
1446,CAN J ELECT COMPUT E,0840-8688,66,0.241,0.385,,,,0.0003,0.152
1447,CAN J EMERG MED,1481-8035,553,1.184,,0.163,49,4.9,0.00218,
1448,CAN J FISH AQUAT SCI,0706-652X,15179,2.213,2.632,0.404,166,>10.0,0.01706,0.97
1449,CAN J FOREST RES,0045-5067,10026,1.685,1.952,0.29,214,>10.0,0.01468,0.645
1450,CAN J GASTROENTEROL,0835-7900,1402,1.206,1.554,0.338,65,6.2,0.00318,0.429
1451,CAN J INFECT DIS MED,1712-9532,408,1.538,,0.083,24,5.3,0.00142,
1452,CAN J MATH,0008-414X,1793,0.548,0.631,0.179,56,>10.0,0.00496,0.916
1453,CAN J MICROBIOL,0008-4166,5483,1.363,1.477,0.164,128,>10.0,0.00547,0.411
1454,CAN J NEUROL SCI,0317-1671,2155,0.968,1.177,0.679,112,>10.0,0.00339,0.355
1455,CAN J OPHTHALMOL,0008-4182,1270,1.471,1.468,0.192,73,5.4,0.00406,0.484
1456,CAN J PHYS,0008-4204,3556,0.857,0.793,0.281,160,>10.0,0.00339,0.294
1457,CAN J PHYSIOL PHARM,0008-4212,3859,1.953,1.92,0.132,106,>10.0,0.00647,0.553
1458,CAN J PLANT PATHOL,0706-0661,1288,0.884,0.982,0.093,54,>10.0,0.00141,0.28
1459,CAN J PLANT SCI,0008-4220,2482,0.613,0.78,0.094,106,>10.0,0.00247,0.233
1460,CAN J PLAST SURG,1195-2199,59,0.179,,0,42,,0.00019,
1461,CAN J PSYCHIAT,0706-7437,3793,2.417,2.969,0.631,84,7.5,0.00834,0.949
1462,CAN J SOIL SCI,0008-4271,2407,0.821,1.212,0.481,79,>10.0,0.00233,0.395
1463,CAN J STAT,0319-5724,746,0.671,0.85,0.075,53,>10.0,0.00305,0.887
1464,CAN J SURG,0008-428X,1561,1.054,1.059,0.333,66,8.4,0.0035,0.361
1465,CAN J UROL,1195-9479,557,0.641,,0.205,83,5.1,0.00193,
1466,CAN J VET RES,0830-9000,1337,0.939,1.349,0.122,49,>10.0,0.00181,0.382
1467,CAN J ZOOL,0008-4301,9387,1.205,1.54,0.246,122,>10.0,0.00778,0.571
1468,CAN MATH BULL,0008-4395,580,0.265,0.365,0.113,53,>10.0,0.00252,0.431
1469,CAN MED ASSOC J,0820-3946,11413,8.217,8.311,1.917,133,7.3,0.02952,3.015
1470,CAN METALL QUART,0008-4433,588,0.443,0.349,0.118,51,>10.0,0.00064,0.136
1471,CAN MIN J,0008-4492,17,0,0.022,0,66,,0.00004,0.013
1472,CAN MINERAL,0008-4476,3304,1.115,1.238,0.807,88,>10.0,0.00441,0.479
1473,CAN RESPIR J,1198-2241,592,1.556,,0.204,49,5.6,0.00209,
1474,CAN VET J,0008-5286,2196,1.063,1.221,0.04,150,>10.0,0.00329,0.336
1475,CAN WATER RESOUR J,0701-1784,214,0.741,,0.25,20,6.4,0.00063,
1476,CANCER BIOL THER,1538-4047,5244,2.636,2.92,0.812,218,4.4,0.02104,0.94
1477,CANCER BIOMARK,1574-0153,306,1.078,,0.347,49,3.4,0.0014,
1478,CANCER BIOTHER RADIO,1084-9785,1261,1.787,1.488,0.143,84,6.1,0.00287,0.381
1479,CANCER CAUSE CONTROL,0957-5243,6408,2.877,3.237,0.39,172,7.1,0.01896,1.246
1480,CANCER CELL,1535-6108,19726,26.566,28.174,5.045,111,5,0.11455,15.244
1481,CANCER CELL INT,1475-2867,465,1.973,,0.268,41,4.5,0.00167,
1482,CANCER CHEMOTH PHARM,0344-5704,6922,2.833,2.713,0.488,344,6,0.01597,0.716
1483,CANCER CYTOPATHOL,1934-662X,1571,3.333,3.095,0.878,41,6,0.00382,0.855
1484,CANCER DETECT PREV,0361-090X,1297,2.522,2.414,,0,7.4,0.00244,0.654
1485,CANCER DISCOV,2159-8274,83,,,1.905,42,,0,
1486,CANCER EPIDEM BIOMAR,1055-9965,18818,4.123,4.565,0.774,301,5.9,0.06118,1.611
1487,CANCER EPIDEMIOL,1877-7821,446,2.01,2.031,0.491,106,1.9,0.00244,0.695
1488,CANCER GENE THER,0929-1903,2486,2.802,2.508,0.626,91,5.9,0.0068,0.768
1489,CANCER GENET CYTOGEN,0165-4608,3802,1.389,1.372,,0,8.4,0.00796,0.46
1490,CANCER GENET-NY,2210-7762,10,,,0.11,82,,0,
1491,CANCER IMAGING,1470-7330,456,1.5,,0.097,31,4.8,0.00191,
1492,CANCER IMMUNOL IMMUN,0340-7004,4900,3.701,3.476,0.77,161,4.7,0.0171,1.085
1493,CANCER INVEST,0735-7907,2476,1.847,1.857,0.283,92,6.4,0.00682,0.602
1494,CANCER J,1528-9117,1878,3.256,2.997,0.53,66,5.1,0.00647,1.06
1495,CANCER LETT,0304-3835,17370,4.238,4.031,0.61,341,5.8,0.0475,1.178
1496,CANCER METAST REV,0167-7659,4501,10.573,10.339,0.84,50,5.3,0.01806,3.916
1497,CANCER NURS,0162-220X,2176,1.792,2.395,0.2,75,8.4,0.00365,0.643
1498,CANCER PREV RES,1940-6207,2068,4.908,5.181,1.423,234,2.1,0.01038,1.707
1499,CANCER RADIOTHER,1278-3218,719,1.488,,0.175,97,3.4,0.0011,
1500,CANCER RES,0008-5472,138772,7.856,8.164,1.582,749,7.5,0.36281,3.095
1501,CANCER SCI,1347-9032,7342,3.325,3.658,0.738,302,3.8,0.03348,1.189
1502,CANCER TREAT REV,0305-7372,3642,6.054,5.828,1,67,4.2,0.01288,1.801
1503,CANCER-AM CANCER SOC,0008-543X,59451,4.771,5.306,0.907,594,>10.0,0.11319,1.923
1504,CANDOLLEA,0373-2967,282,0.355,0.309,0.205,44,>10.0,0.0002,0.082
1505,CARBOHYD POLYM,0144-8617,15055,3.628,3.987,0.64,835,4.9,0.02838,0.744
1506,CARBOHYD RES,0008-6215,14992,2.332,2.386,0.401,404,>10.0,0.01736,0.539
1507,CARBON,0008-6223,27798,5.378,6.008,1.081,641,6.3,0.06074,1.595
1508,CARBONATE EVAPORITE,0891-2556,120,0.27,0.32,0.033,30,>10.0,0.00015,0.108
1509,CARCINOGENESIS,0143-3334,20081,5.702,5.203,0.818,242,7.7,0.04646,1.697
1510,CARDIOL CLIN,0733-8651,807,1.357,1.219,0.133,45,8.3,0.00204,0.469
1511,CARDIOL J,1897-5593,373,1.309,,0.183,104,2.6,0.00154,
1512,CARDIOL REV,1061-5377,744,2.88,,0.61,41,4.5,0.00274,
1513,CARDIOL YOUNG,1047-9511,1150,0.759,0.995,0.17,135,5.6,0.00391,0.353
1514,CARDIOLOGY,0008-6312,1894,1.705,1.518,0.5,88,6.9,0.00543,0.539
1515,CARDIOVASC DIABETOL,1475-2840,1108,3.346,,0.667,111,2.8,0.00409,
1516,CARDIOVASC DRUG THER,0920-3206,1509,3.13,2.631,0.352,54,6.8,0.00364,0.813
1517,CARDIOVASC ENG,1567-8822,169,0.809,,,,3.8,0.00067,
1518,CARDIOVASC INTER RAD,0174-1551,3362,2.093,2.007,0.358,232,4.8,0.01046,0.566
1519,CARDIOVASC J AFR,1995-1892,166,0.767,,0.138,58,2.9,0.00072,
1520,CARDIOVASC PATHOL,1054-8807,1169,2.066,1.935,0.868,53,6.1,0.00318,0.628
1521,CARDIOVASC RES,0008-6363,19557,6.064,6.225,1.509,277,6.6,0.05153,2.069
1522,CARDIOVASC THER,1755-5914,287,2.353,2.313,0.321,56,2,0.00127,0.616
1523,CARDIOVASC TOXICOL,1530-7905,563,2.067,2.474,0.325,40,4.8,0.00176,0.71
1524,CARDIOVASC ULTRASOUN,1476-7120,512,1.265,,0.093,43,3.9,0.00231,
1525,CARIBB J SCI,0008-6452,459,0.22,0.399,,,>10.0,0.0005,0.148
1526,CARIES RES,0008-6568,3382,2.328,2.726,0.587,75,>10.0,0.00387,0.619
1527,CARPATH J EARTH ENV,1842-4090,148,1.45,1.217,0.277,65,2.1,0.00012,0.064
1528,CARPATHIAN J MATH,1584-2851,111,0.906,,0,27,3.3,0.00085,
1529,CARYOLOGIA,0008-7114,541,0.533,0.517,0.069,29,>10.0,0.00061,0.129
1530,CASTANEA,0008-7475,315,0.338,0.457,0.086,35,>10.0,0.00039,0.154
1531,CATAL COMMUN,1566-7367,7950,2.986,3.299,0.46,378,3.8,0.02642,0.746
1532,CATAL LETT,1011-372X,9443,2.242,2.314,0.478,249,7.4,0.01769,0.585
1533,CATAL REV,0161-4940,2737,7.5,9.927,0.429,7,>10.0,0.00219,2.901
1534,CATAL SCI TECHNOL,2044-4753,123,,,0.588,194,0.5,0,
1535,CATAL SURV ASIA,1571-1013,445,1.897,2.63,0.4,20,5.3,0.00114,0.674
1536,CATAL TODAY,0920-5861,22303,3.407,3.584,0.455,668,7,0.0413,0.919
1537,CATENA,0341-8162,3959,1.889,2.51,0.312,109,8.5,0.00786,0.788
1538,CATHETER CARDIO INTE,1522-1946,6609,2.29,2.373,0.849,298,5.4,0.02035,0.769
1539,CATTLE PRACT,0969-1251,104,0.171,0.203,0.059,17,6.8,0.00024,0.063
1540,CBE-LIFE SCI EDUC,1931-7913,293,1.191,,0.237,38,3.5,0.00209,
1541,CELEST MECH DYN ASTR,0923-2958,1401,1.457,1.28,0.308,65,>10.0,0.00292,0.511
1542,CELL,0092-8674,171297,32.403,34.774,6.382,338,8.6,0.66143,20.536
1543,CELL ADHES MIGR,1933-6918,490,1.816,1.797,0.529,68,2.5,0.00351,0.761
1544,CELL BIOCHEM BIOPHYS,1085-9195,1461,3.743,3.107,0.324,142,5.3,0.00561,1.131
1545,CELL BIOCHEM FUNCT,0263-6484,1372,1.771,1.623,0.187,91,5,0.00326,0.367
1546,CELL BIOL INT,1065-6995,2844,1.482,1.61,0.31,168,5.7,0.00683,0.414
1547,CELL BIOL TOXICOL,0742-2091,1144,2.511,2.161,0.412,34,6.1,0.00262,0.559
1548,CELL CALCIUM,0143-4160,4311,3.766,3.698,0.452,104,6.4,0.01211,1.25
1549,CELL CHEM TECHNOL,0576-9787,394,0.55,0.45,0.101,79,>10.0,0.0006,0.102
1550,CELL COMMUN ADHES,1541-9061,385,1.176,1.798,0.167,12,6.9,0.00127,0.733
1551,CELL COMMUN SIGNAL,1478-811X,383,5.5,,0.643,28,2.4,0.00218,
1552,CELL CYCLE,1538-4101,14143,5.359,4.571,1.227,428,3.4,0.07794,1.708
1553,CELL DEATH DIFFER,1350-9047,13183,8.849,7.955,1.977,174,5.1,0.05754,3.235
1554,CELL DEATH DIS,2041-4889,613,5.333,5.333,0.643,126,1.4,0.00263,1.448
1555,CELL DIV,1747-1028,435,3,3.563,0.391,23,3.9,0.00411,1.879
1556,CELL HOST MICROBE,1931-3128,4840,13.5,14.067,2.274,95,2.8,0.042,6.97
1557,CELL IMMUNOL,0008-8749,3766,1.974,2.265,0.257,175,>10.0,0.00655,0.726
1558,CELL J,2228-5806,1,,,0.033,30,,0,
1559,CELL METAB,1550-4131,9907,13.668,17.77,2.624,133,3.9,0.0716,8.602
1560,CELL MICROBIOL,1462-5814,7268,5.458,5.299,1.116,138,4.7,0.03234,1.973
1561,CELL MOL BIOENG,1865-5025,263,1.947,2,0.155,58,2.5,0.00153,0.655
1562,CELL MOL BIOL,0145-5680,1818,0.975,1.193,7.179,39,9,0.0013,0.333
1563,CELL MOL BIOL LETT,1425-8153,847,1.505,1.383,0.561,41,6.6,0.00174,0.395
