Rank,Journal Title,ISSN,Total Cites,IF,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
2073,CORAL REEFS,0722-4028,4998,3.662,4.209,0.686,102,7.7,0.01058,1.284
2074,CORNEA,0277-3740,6807,1.746,2.063,0.372,266,6.6,0.01689,0.684
2075,CORONARY ARTERY DIS,0954-6928,1345,1.107,1.363,0.262,80,7,0.00271,0.362
2076,CORROS ENG SCI TECHN,1478-422X,329,0.537,0.621,0.323,65,4.3,0.00115,0.205
2077,CORROS REV,0334-6005,137,0.5,0.527,0.2,10,7.8,0.00027,0.163
2078,CORROS SCI,0010-938X,18210,3.615,4.016,0.757,449,6.3,0.02891,0.786
2079,CORROSION,0010-9312,3842,1.772,1.454,0.515,103,>10.0,0.00429,0.587
2080,CORTEX,0010-9452,5265,6.161,5.042,2.745,106,5.3,0.01397,1.58
2081,COSMIC RES+,0010-9525,332,0.244,0.275,0.019,53,>10.0,0.00046,0.085
2082,CR ACAD BULG SCI,1310-1331,371,0.211,0.182,0.034,238,5,0.00079,0.04
2083,CR BIOL,1631-0691,1801,1.804,1.915,0.157,83,5.4,0.00519,0.559
2084,CR CHIM,1631-0748,2405,1.92,1.789,0.274,146,5.6,0.00602,0.49
2085,CR GEOSCI,1631-0713,1599,1.401,1.917,0.574,68,5.6,0.00578,0.781
2086,CR MATH,1631-073X,1430,0.477,0.538,0.078,218,5.7,0.01317,0.543
2087,CR MECANIQUE,1631-0721,803,0.873,0.969,0.3,90,5.2,0.00404,0.483
2088,CR PALEVOL,1631-0683,661,1.009,1.07,0.057,53,6.4,0.00197,0.394
2089,CR PHYS,1631-0705,1276,1.818,1.704,0.72,75,5.3,0.00635,0.878
2090,CRANIO,0886-9634,604,1.111,1.105,0.031,32,>10.0,0.00085,0.3
2091,CRETACEOUS RES,0195-6671,2094,1.63,2.024,0.715,123,7.2,0.00397,0.601
2092,CRIT CARE,1466-609X,10657,4.718,5.248,0.976,209,4.4,0.03978,1.706
2093,CRIT CARE CLIN,0749-0704,1313,1.952,2.117,0.3,40,7.4,0.00318,0.731
2094,CRIT CARE MED,0090-3493,32733,6.124,6.401,2.614,363,7.2,0.06902,2.037
2095,CRIT CARE NURSE,0279-5442,484,0.899,1.25,0.314,35,5.9,0.00109,0.331
2096,CRIT CARE RESUSC,1441-2772,473,1.507,,0.39,41,4.4,0.00209,
2097,CRIT REV ANAL CHEM,1040-8347,979,2.892,3.69,0.591,22,7.6,0.00118,0.774
2098,CRIT REV BIOCHEM MOL,1040-9238,2729,5.578,8.032,1.233,30,8.8,0.00837,3.819
2099,CRIT REV BIOTECHNOL,0738-8551,1377,5.095,5.966,0.952,21,7.5,0.00232,1.504
2100,CRIT REV CL LAB SCI,1040-8363,1026,3.783,5.143,0.571,14,8.6,0.00164,1.487
2101,CRIT REV ENV SCI TEC,1064-3389,2104,3.383,5.364,0.625,56,7.2,0.00371,1.511
2102,CRIT REV EUKAR GENE,1045-4403,691,2.065,2.777,0.286,28,7.4,0.00155,0.861
2103,CRIT REV FOOD SCI,1040-8398,4667,4.82,6.261,0.851,67,8,0.00775,1.673
2104,CRIT REV IMMUNOL,1040-8401,1159,3.383,3.221,0.438,16,7.3,0.0027,1.099
2105,CRIT REV MICROBIOL,1040-841X,1335,5.065,5.615,1.095,21,7.6,0.00273,1.709
2106,CRIT REV ONCOL HEMAT,1040-8428,4618,4.637,4.562,0.908,119,6.2,0.01149,1.393
2107,CRIT REV PLANT SCI,0735-2689,2240,4.356,5.49,1.227,22,8.8,0.00292,1.735
2108,CRIT REV SOLID STATE,1040-8436,744,5.947,7.368,1,10,7.1,0.00156,2.34
2109,CRIT REV THER DRUG,0743-4863,1064,2.682,3.183,0.417,12,>10.0,0.00086,0.813
2110,CRIT REV TOXICOL,1040-8444,2955,6.253,5.972,0.943,35,7.5,0.00534,1.701
2111,CROAT CHEM ACTA,0011-1643,917,0.614,0.661,0.028,72,9.4,0.00121,0.182
2112,CROAT J FOR ENG,1845-5719,116,0.594,0.809,0.071,28,4,0.00033,0.166
2113,CROAT MED J,0353-9504,1209,1.25,1.612,0.421,76,6.4,0.00233,0.413
2114,CROP BREED APPL BIOT,1984-7033,307,0.524,0.579,0.217,60,5.1,0.00062,0.12
2115,CROP PASTURE SCI,1836-0947,537,1.133,1.439,0.719,89,2.7,0.00227,0.395
2116,CROP PROT,0261-2194,4245,1.303,1.598,0.246,248,7.6,0.00807,0.435
2117,CROP SCI,0011-183X,14370,1.513,2.096,0.311,293,>10.0,0.01551,0.598
2118,CRUSTACEANA,0011-216X,1807,0.466,0.524,0.05,121,>10.0,0.00151,0.147
2119,CRYOBIOLOGY,0011-2240,3292,2.137,2.252,0.183,93,9.2,0.00424,0.539
2120,CRYOGENICS,0011-2275,2048,1.17,1.052,0.14,129,>10.0,0.00311,0.357
2121,CRYOLETTERS,0143-2044,908,0.837,1.249,0.073,55,8.9,0.00096,0.223
2122,CRYOSPHERE,1994-0416,868,3.77,4.535,0.855,110,2.3,0.00691,2.318
2123,CRYPTOGAMIE ALGOL,0181-1568,260,1.17,0.882,0.188,32,8.8,0.00055,0.288
2124,CRYPTOGAMIE BRYOL,1290-0796,230,1.039,0.772,0.147,34,5.8,0.00049,0.189
2125,CRYPTOGAMIE MYCOL,0181-1584,236,1.044,0.834,0.25,36,4.8,0.00057,0.207
2126,CRYPTOLOGIA,0161-1194,73,0.233,0.226,0.056,18,,0.00009,0.042
2127,CRYST GROWTH DES,1528-7483,22310,4.689,4.873,0.869,773,3.9,0.05728,0.943
2128,CRYST RES TECHNOL,0232-1300,2423,1.12,1.032,0.211,166,6.6,0.00495,0.273
2129,CRYSTALLOGR REP+,1063-7745,1926,0.52,0.52,0.093,140,>10.0,0.00281,0.177
2130,CRYSTALLOGR REV,0889-311X,200,2.316,,0.125,8,7.4,0.00072,
2131,CRYSTENGCOMM,1466-8033,12988,3.879,4.069,0.863,1194,2.6,0.03255,0.749
2132,CSH PERSPECT BIOL,1943-0264,3921,9.63,10.367,0.884,155,2.4,0.03495,5.46
2133,CSH PERSPECT MED,2157-1422,211,5.5,5.5,1.099,142,0.7,0.00042,2.398
2134,CT F-CIENC TECN FUT,0122-5383,17,0.152,,0,16,,0.00008,
2135,CTS-CLIN TRANSL SCI,1752-8054,503,2.33,2.384,0.435,69,2.9,0.00297,0.855
2136,CUAD DESARRO RURAL,0122-1450,11,0.129,0.11,0,20,,0.00003,0.022
2137,CUAJ-CAN UROL ASSOC,1911-6470,365,1.657,1.528,0.647,17,3,0.00193,0.482
2138,CURR ALLERGY ASTHM R,1529-7322,1204,2.746,2.357,0.382,76,4.6,0.00374,0.692
2139,CURR ALLERGY CLIN IM,1609-3607,30,0.152,,0.1,30,,0.0001,
2140,CURR ALZHEIMER RES,1567-2050,2141,3.676,4.203,0.733,116,4.1,0.00765,1.167
2141,CURR ANAL CHEM,1573-4110,359,1.558,1.69,0.246,57,3.9,0.00117,0.396
2142,CURR APPL PHYS,1567-1739,4087,1.814,1.782,0.575,360,3.1,0.01413,0.473
2143,CURR ATHEROSCLER REP,1523-3804,1271,2.923,,0.446,74,4.8,0.00402,
2144,CURR BIOINFORM,1574-8936,233,2.017,1.552,0.367,49,2.2,0.00071,0.348
2145,CURR BIOL,0960-9822,43191,9.494,10.445,2.307,371,6.8,0.16751,5.566
2146,CURR CANCER DRUG TAR,1568-0096,2521,4,4.412,0.607,84,4.4,0.00834,1.255
2147,CURR COMPUT-AID DRUG,1573-4099,280,1.54,1.75,0.125,24,4.4,0.00077,0.367
2148,CURR DIABETES REP,1534-4827,1292,3.165,,0.302,86,4.5,0.00459,
2149,CURR DRUG METAB,1389-2002,3070,4.405,4.508,0.941,118,4.7,0.00846,1.168
2150,CURR DRUG TARGETS,1389-4501,3837,3.848,3.549,0.667,165,4.6,0.01246,1.063
2151,CURR EYE RES,0271-3683,3740,1.71,1.702,0.304,158,9.8,0.00587,0.515
2152,CURR GENE THER,1566-5232,1362,5.318,4.322,0.61,41,4.3,0.00421,1.154
2153,CURR GENET,0172-8083,3020,2.41,2.27,0.6,25,>10.0,0.00323,0.731
2154,CURR GENOMICS,1389-2029,919,2.475,2.842,0.133,60,3.8,0.00443,0.886
2155,CURR HEMATOL MALIG R,1558-8211,222,1.852,,0.625,40,2.6,0.00104,
2156,CURR HIV RES,1570-162X,1042,2.033,1.941,0.448,87,4.3,0.00396,0.609
2157,CURR HYPERTENS REP,1522-6417,1415,3.744,2.741,0.605,76,4.7,0.00447,0.859
2158,CURR ISSUES MOL BIOL,1467-3037,534,3.65,4.096,1,6,6.8,0.00114,1.245
2159,CURR MED CHEM,0929-8673,12773,4.07,4.471,0.627,475,5.5,0.03101,1.189
2160,CURR MED IMAGING REV,1573-4056,193,0.429,0.665,0.121,33,5.5,0.00067,0.237
2161,CURR MED RES OPIN,0300-7995,5714,2.263,2.385,0.482,191,4.8,0.01794,0.676
2162,CURR MICROBIOL,0343-8651,4495,1.52,1.648,0.188,202,7.2,0.00908,0.45
2163,CURR MOL MED,1566-5240,2996,4.197,4.644,0.721,111,5,0.00934,1.479
2164,CURR NANOSCI,1573-4137,821,1.356,1.64,0.274,146,3.5,0.00189,0.283
2165,CURR NEUROL NEUROSCI,1528-4042,1472,3.783,3.142,0.756,82,4,0.00567,1.044
2166,CURR NEUROPHARMACOL,1570-159X,815,2.031,3.084,0.121,33,4,0.00335,0.888
2167,CURR NEUROVASC RES,1567-2026,773,2.844,2.932,0.944,36,4.7,0.0019,0.672
2168,CURR ONCOL,1198-0052,657,1.625,,0.229,105,3.4,0.00334,
2169,CURR ONCOL REP,1523-3790,1061,3.327,,0.586,70,3.8,0.00409,
2170,CURR OPIN ALLERGY CL,1528-4050,2255,3.398,3.337,0.678,87,4.5,0.0077,1.059
2171,CURR OPIN ANESTHESIO,0952-7907,1692,2.4,,0.432,95,3.9,0.00647,
2172,CURR OPIN BIOTECH,0958-1669,9501,7.86,9.006,1.328,131,6.5,0.02576,3.093
2173,CURR OPIN CARDIOL,0268-4705,1733,2.564,2.347,0.435,85,5.1,0.00614,0.88
2174,CURR OPIN CELL BIOL,0955-0674,13866,11.41,12.034,1.291,110,6.9,0.05453,6.257
2175,CURR OPIN CHEM BIOL,1367-5931,8869,9.471,9.256,0.987,76,6.1,0.02639,3.243
2176,CURR OPIN CLIN NUTR,1363-1950,3365,4.519,4.183,0.602,88,5,0.01038,1.273
2177,CURR OPIN COLLOID IN,1359-0294,4670,6.629,7.036,0.884,43,7.6,0.01013,2.301
2178,CURR OPIN CRIT CARE,1070-5295,2426,2.967,2.976,0.554,92,5.4,0.00777,0.976
2179,CURR OPIN DRUG DISC,1367-6733,1825,5.121,4.108,,0,5.3,0.00577,1.271
2180,CURR OPIN ENDOCRINOL,1752-296X,1211,3.985,,0.5,68,3.2,0.00634,
2181,CURR OPIN ENV SUST,1877-3435,668,3.168,3.391,1.36,89,2.3,0.00357,1.264
2182,CURR OPIN GASTROEN,0267-1379,2003,4.103,3.739,1.101,79,4,0.00858,1.239
2183,CURR OPIN GENET DEV,0959-437X,8178,7.47,8.209,1.538,80,6.8,0.03354,4.386
2184,CURR OPIN HEMATOL,1065-6251,2602,4.111,3.973,0.742,66,5.1,0.0102,1.556
2185,CURR OPIN HIV AIDS,1746-630X,1312,4.704,3.146,1,75,2.7,0.00832,1.255
2186,CURR OPIN IMMUNOL,0952-7915,8689,8.771,8.826,1.452,84,5.7,0.03624,4.076
2187,CURR OPIN INFECT DIS,0951-7375,3039,4.87,4.61,0.839,87,4.6,0.01143,1.609
2188,CURR OPIN INVEST DR,1472-4472,2336,3.553,3.006,,0,4.9,0.00775,0.938
2189,CURR OPIN LIPIDOL,0957-9672,3620,5.839,5.738,0.922,64,6.1,0.0102,1.926
2190,CURR OPIN MICROBIOL,1369-5274,7695,8.23,8.104,1.061,99,5.9,0.02783,3.376
2191,CURR OPIN MOL THER,1464-8431,1211,3.416,2.723,,0,4.8,0.00394,0.83
2192,CURR OPIN NEPHROL HY,1062-4821,2923,3.964,3.763,0.795,83,5.6,0.00928,1.346
2193,CURR OPIN NEUROBIOL,0959-4388,11429,7.335,8.165,1.111,135,7.8,0.03666,4.258
2194,CURR OPIN NEUROL,1350-7540,4449,5.416,5.035,0.804,97,5.6,0.01384,1.727
2195,CURR OPIN OBSTET GYN,1040-872X,1809,2.637,2.508,0.348,66,5.5,0.0058,0.843
2196,CURR OPIN ONCOL,1040-8746,2770,4.027,3.575,1.05,101,4.7,0.01007,1.291
2197,CURR OPIN OPHTHALMOL,1040-8738,2248,2.557,2.917,0.316,76,6,0.0071,1.082
2198,CURR OPIN ORGAN TRAN,1087-2418,1268,3.272,2.4,0.596,89,2.8,0.00681,0.809
2199,CURR OPIN OTOLARYNGO,1068-9508,1436,1.731,,0.141,78,5.2,0.00496,
2200,CURR OPIN PEDIATR,1040-8703,2460,2.634,2.686,0.616,99,4.9,0.00865,0.956
2201,CURR OPIN PHARMACOL,1471-4892,5198,5.443,6.447,0.765,102,4.9,0.01937,2.196
2202,CURR OPIN PLANT BIOL,1369-5266,9461,8.455,9.221,1.229,96,6.2,0.03011,3.547
2203,CURR OPIN PSYCHIATR,0951-7367,2320,3.422,3.593,0.697,76,4.8,0.00851,1.155
2204,CURR OPIN PULM MED,1070-5287,1984,3.119,2.66,0.721,86,5,0.00642,0.902
2205,CURR OPIN RHEUMATOL,1040-8711,3701,5.191,4.256,1.045,89,5.4,0.01155,1.467
2206,CURR OPIN SOLID ST M,1359-0286,2508,5.438,7.329,0.913,23,9.2,0.00403,2.705
2207,CURR OPIN STRUC BIOL,0959-440X,10116,8.738,9.02,1.452,93,7.2,0.03708,4.597
2208,CURR OPIN UROL,0963-0643,1472,2.195,2.295,0.4,75,4.2,0.00527,0.721
2209,CURR OPIN VIROL,1879-6257,290,2.457,2.457,0.938,97,1.3,0.00181,1.277
2210,CURR ORG CHEM,1385-2728,3953,3.039,3.222,0.253,178,5.8,0.00912,0.836
2211,CURR ORG SYNTH,1570-1794,673,2.038,2.914,0.76,50,4.5,0.00162,0.659
2212,CURR PAIN HEADACHE R,1531-3433,896,1.672,,0.42,69,5.1,0.00255,
2213,CURR PHARM ANAL,1573-4129,226,1.333,1.08,0.087,46,3.7,0.00065,0.249
2214,CURR PHARM BIOTECHNO,1389-2010,2175,2.69,3.087,0.738,244,3.3,0.00766,0.904
2215,CURR PHARM DESIGN,1381-6128,11195,3.311,3.696,1.063,537,4.9,0.02963,1
2216,CURR PROB CANCER,0147-0272,270,1.562,2.464,0.143,14,5.9,0.00072,0.73
2217,CURR PROB CARDIOLOGY,0146-2806,386,2.542,2.678,0.25,12,7,0.001,0.967
2218,CURR PROB PEDIATR AD,1538-5442,192,1.561,,0.118,17,4.2,0.00072,
2219,CURR PROB SURG,0011-3840,428,2.083,2.267,0.25,12,>10.0,0.0008,0.762
2220,CURR PROTEIN PEPT SC,1389-2037,1693,2.326,3.148,0.776,67,5.6,0.00475,1.002
2221,CURR PROTEOMICS,1570-1646,218,0.828,,0,23,3.5,0.00075,
2222,CURR PSYCHIAT REP,1523-3812,1646,3.23,,0.477,86,4.9,0.00601,
2223,CURR SCI INDIA,0011-3891,7727,0.905,1.043,0.358,285,8.5,0.01034,0.298
2224,CURR SIGNAL TRANSD T,1574-3624,79,0.446,0.425,0.167,30,,0.00026,0.111
2225,CURR SPORT MED REP,1537-890X,612,1.513,,0.367,49,4.7,0.00179,
2226,CURR STEM CELL RES T,1574-888X,683,2.963,,0.674,46,3.5,0.00238,
2227,CURR THER RES CLIN E,0011-393X,545,0.446,0.46,0.118,17,>10.0,0.00036,0.115
2228,CURR TOP DEV BIOL,0070-2153,2246,6.912,6.467,0.762,42,4.9,0.01137,3.325
2229,CURR TOP MED CHEM,1568-0266,4850,3.702,3.885,0.655,177,5,0.0131,1.044
2230,CURR TOP MEMBR,1063-5823,231,1.062,0.889,0,14,5.7,0.00108,0.428
2231,CURR TOP MICROBIOL,0070-217X,4958,4.86,4.744,5.053,19,6.4,0.01488,1.872
2232,CURR TOP NUTRACEUT R,1540-7535,87,0.262,0.264,0.571,14,,0.00013,0.072
2233,CURR TREAT OPTION NE,1092-8480,546,1.938,,0.385,52,4,0.00213,
2234,CURR TREAT OPTION ON,1527-2729,700,2.422,,0.463,41,6,0.00172,
2235,CURR VASC PHARMACOL,1570-1611,1124,2.821,2.889,0.596,94,3.4,0.00372,0.785
2236,CURR ZOOL,1674-5507,318,1.392,,0.5,82,2,0.00152,
2237,CUST AGRONEGOCIO,1808-2882,3,0.021,,0,24,,0,
2238,CUTAN OCUL TOXICOL,1556-9527,247,1.044,1.024,0.083,60,3,0.00093,0.251
2239,CUTIS,0011-4162,1662,0.822,0.76,0.053,95,>10.0,0.00189,0.212
2240,CYBERNET SYST,0196-9722,453,0.973,0.814,0.237,38,8,0.00076,0.223
2241,CYBIUM,0399-0974,694,0.379,0.397,1.122,41,>10.0,0.00083,0.111
2242,CYTA-J FOOD,1947-6337,75,0.5,0.568,0.163,43,,0.00021,0.107
2243,CYTOGENET GENOME RES,1424-8581,2986,1.839,1.885,0.288,73,6.4,0.00778,0.627
2244,CYTOJOURNAL,0974-5963,232,1.2,,0.091,11,4.7,0.00089,
2245,CYTOKINE,1043-4666,5872,2.518,3.121,0.364,321,6.1,0.0149,0.946
2246,CYTOKINE GROWTH F R,1359-6101,4587,8.831,7.919,0.588,34,7.2,0.01095,2.812
2247,CYTOL GENET+,0095-4527,168,0.294,0.278,0.058,52,5.9,0.00025,0.047
2248,CYTOLOGIA,0011-4545,684,0.306,,0.029,34,>10.0,0.00036,
2249,CYTOM PART A,1552-4922,2910,3.711,3.203,0.714,112,4.7,0.00935,0.984
2250,CYTOM PART B-CLIN CY,1552-4949,986,2.231,2.294,0.75,48,4.8,0.00316,0.688
2251,CYTOPATHOLOGY,0956-5507,911,1.714,1.572,0.661,59,5.7,0.00197,0.403
2252,CYTOSKELETON,1949-3584,395,2.865,2.865,0.361,83,2.2,0.00315,1.427
2253,CYTOTECHNOLOGY,0920-9069,1276,1.315,1.593,0.412,68,7.6,0.00197,0.354
2254,CYTOTHERAPY,1465-3249,2906,3.055,3.275,0.659,123,4.9,0.00708,0.834
2255,CZECH J ANIM SCI,1212-1819,613,0.922,1,0.098,61,5.7,0.00118,0.212
2256,CZECH J FOOD SCI,1212-1800,611,0.685,0.858,0.111,72,4.3,0.00165,0.203
2257,CZECH J GENET PLANT,1212-1975,123,0.385,,0,21,4.6,0.00034,
2258,CZECH MATH J,0011-4642,834,0.3,0.326,0.064,78,>10.0,0.00182,0.246
2259,DAIRY SCI TECHNOL,1958-5586,302,1.38,1.404,0.182,44,3.3,0.00125,0.388
2260,DALTON T,1477-9226,38660,3.806,3.889,0.947,1709,4.5,0.0833,0.842
2261,DAN MED BULL,0907-8916,1176,0.923,1.085,,0,>10.0,0.00135,0.314
2262,DAN MED J,2245-1919,17,,,0.09,178,,0,
2263,DARU,1560-8115,312,0.615,0.707,0.154,78,4.7,0.00048,0.106
2264,DATA KNOWL ENG,0169-023X,1279,1.519,1.71,0.268,41,5.6,0.00441,0.603
2265,DATA MIN KNOWL DISC,1384-5810,1684,2.877,2.643,0.581,43,>10.0,0.00392,1.425
2266,DATABASE-OXFORD,1758-0463,522,4.2,4.189,0.725,40,2.2,0.0035,1.796
2267,DECIS SUPPORT SYST,0167-9236,3895,2.201,3.037,0.196,209,5.9,0.00994,0.864
2268,DEEP-SEA RES PT I,0967-0637,5711,2.816,2.925,0.528,123,9.1,0.01474,1.375
2269,DEEP-SEA RES PT II,0967-0645,7614,2.243,2.919,3.067,90,7.3,0.02239,1.274
2270,DEFENCE SCI J,0011-748X,270,0.359,0.34,0.077,65,5.7,0.00068,0.098
2271,DEMENT GERIATR COGN,1420-8008,4074,2.787,3.121,0.354,99,5.7,0.01029,0.864
2272,DENDROBIOLOGY,1641-1307,100,0.447,0.591,0.19,21,5.5,0.00027,0.175
2273,DENDROCHRONOLOGIA,1125-7865,598,1.48,,0.405,37,7.4,0.00137,
2274,DENT MATER,0109-5641,8089,3.773,4.046,0.466,176,6,0.01667,0.97
2275,DENT MATER J,0287-4547,1154,0.809,1.305,0.088,113,5.1,0.00321,0.334
2276,DENT TRAUMATOL,1600-4469,1368,1,1.322,0.696,79,5.5,0.00201,0.211
2277,DENTOMAXILLOFAC RAD,0250-832X,1770,1.148,1.65,0.142,113,7.3,0.00329,0.466
2278,DEPRESS ANXIETY,1091-4269,4037,4.61,4.347,0.435,124,4.5,0.01412,1.44
2279,DERMATITIS,1710-3568,434,0.929,1.297,0.067,45,4.9,0.00131,0.359
2280,DERMATOL CLIN,0733-8635,1529,1.522,1.606,0.333,60,8.6,0.00319,0.508
2281,DERMATOL SIN,1027-8117,45,0.218,,0.207,29,,0.00007,
2282,DERMATOL SURG,1076-0512,6680,1.866,2.372,0.384,307,7,0.01229,0.593
2283,DERMATOL THER,1396-0296,1218,1.963,2.255,0.129,85,4.8,0.00406,0.68
2284,DERMATOLOGY,1018-8665,4688,2.024,2.393,0.17,106,9.8,0.00833,0.767
2285,DES AUTOM EMBED SYST,0929-5585,59,0.286,0.435,0,7,,0.00018,0.149
2286,DES MONOMERS POLYM,1385-772X,380,0.875,0.905,0.297,37,5.4,0.00069,0.178
2287,DESALIN WATER TREAT,1944-3994,1529,0.852,0.919,0.166,597,2.5,0.00351,0.129
2288,DESALINATION,0011-9164,18498,3.041,2.751,0.588,413,5.1,0.04088,0.615
2289,DESIGN CODE CRYPTOGR,0925-1022,874,0.779,0.748,0.177,113,6.9,0.00525,0.663
2290,DESIGN STUD,0142-694X,1100,1.545,1.68,0.172,29,>10.0,0.00188,0.716
2291,DEUT ENTOMOL Z,1435-1951,414,0.73,0.5,0.04,25,>10.0,0.00038,0.194
2292,DEUT LEBENSM-RUNDSCH,0012-0413,226,0.115,0.2,0.012,83,8.7,0.00026,0.042
2293,DEUT MED WOCHENSCHR,0012-0472,1910,0.653,0.518,0.235,230,9,0.00231,0.104
2294,DEUT Z SPORTMED,0344-5925,207,0.575,0.375,0.135,37,7.5,0.00021,0.057
2295,DEV BIOL,0012-1606,31290,3.868,4.049,0.824,370,8.6,0.07529,1.742
2296,DEV CELL,1534-5807,20306,12.861,14.091,2.174,201,5.6,0.1068,8.23
2297,DEV COGN NEUROS-NETH,1878-9293,203,3.16,3.16,0.818,55,1.4,0.00122,1.392
2298,DEV COMP IMMUNOL,0145-305X,4972,3.238,3.4,0.693,192,5.9,0.01003,0.817
2299,DEV DISABIL RES REV,1940-5510,566,2.793,4.147,,,3.6,0.00346,1.449
2300,DEV DYNAM,1058-8388,10728,2.59,2.863,0.61,164,6.9,0.03307,1.237
2301,DEV GENES EVOL,0949-944X,1739,1.695,1.973,0.438,32,8.5,0.0038,0.824
2302,DEV GROWTH DIFFER,0012-1592,1974,2.397,2.341,0.586,70,6.2,0.0065,0.943
2303,DEV MED CHILD NEUROL,0012-1622,8097,2.675,3.215,0.748,222,8.4,0.01502,1.016
2304,DEV NEUROBIOL,1932-8451,1753,4.423,3.204,1.43,114,3.1,0.01152,1.352
2305,DEV NEUROPSYCHOL,8756-5641,2256,2.899,3.218,0.6,40,7.9,0.00484,1.228
2306,DEV NEUROREHABIL,1751-8423,410,1.9,,0.22,50,3,0.00179,
2307,DEV NEUROSCI-BASEL,0378-5866,1859,3.413,3.25,0.05,40,8.2,0.0044,1.254
2308,DEV PSYCHOBIOL,0012-1630,2992,2.595,2.475,0.658,73,9.7,0.00532,0.847
2309,DEV WORLD BIOETH,1471-8731,137,0.833,0.968,0.118,17,4.5,0.00052,0.312
2310,DEVELOPMENT,0950-1991,51191,6.208,6.888,1.258,434,9.2,0.1238,3.362
2311,DIABETES,0012-1797,46158,7.895,8.611,1.542,347,8,0.09683,3.032
2312,DIABETES CARE,0149-5992,49025,7.735,7.555,2.234,427,7.1,0.11379,2.477
2313,DIABETES EDUCATOR,0145-7217,1621,1.936,2.649,0.327,52,5.8,0.00523,0.935
2314,DIABETES METAB,1262-3636,2737,2.388,2.856,0.402,87,6.4,0.00645,0.83
2315,DIABETES OBES METAB,1462-8902,4587,5.181,4.415,1.491,173,3.6,0.01741,1.268
2316,DIABETES RES CLIN PR,0168-8227,6451,2.741,2.618,0.445,301,5.2,0.01859,0.757
2317,DIABETES STOFFWECH H,1861-7603,77,0.175,0.161,0.125,24,,0.00008,0.025
2318,DIABETES TECHNOL THE,1520-9156,2163,2.205,2.247,0.82,167,3.8,0.00605,0.597
2319,DIABETES VASC DIS RE,1479-1641,731,2.594,,1.105,38,4.6,0.00277,
2320,DIABETES-METAB RES,1520-7552,3209,2.968,3.163,1.008,124,6.1,0.00791,0.981
2321,DIABETIC MED,0742-3071,9441,3.241,3.303,0.641,298,7.1,0.0202,1.086
2322,DIABETOL METAB SYNDR,1758-5996,249,1.924,1.789,0.212,52,2.4,0.00107,0.459
2323,DIABETOL STOFFWECHS,1861-9002,74,0.427,0.351,0.03,33,,0.00014,0.04
2324,DIABETOLOGE,1860-9716,41,0.25,,0.018,56,,0.00005,
2325,DIABETOLOGIA,0012-186X,24906,6.487,6.772,1.749,339,7.1,0.05896,2.331
2326,DIAGN CYTOPATHOL,8755-1039,2825,1.487,1.385,0.252,214,7.8,0.00461,0.342
2327,DIAGN INTERV RADIOL,1305-3825,459,1.031,1.163,0.28,75,4,0.00156,0.314
2328,DIAGN MICR INFEC DIS,0732-8893,4840,2.26,2.263,0.368,234,5.3,0.01501,0.72
2329,DIAGN MOL PATHOL,1052-9551,792,1.861,1.818,0.471,34,6.7,0.00177,0.558
2330,DIAGN PATHOL,1746-1596,924,1.85,1.847,0.408,179,2.8,0.00273,0.386
2331,DIALYSIS TRANSPLANT,0090-2934,152,0.274,0.223,,,9.7,0.0003,0.068
2332,DIAM RELAT MATER,0925-9635,7407,1.709,1.762,0.538,212,7.4,0.0145,0.513
2333,DIATOM RES,0269-249X,556,0.75,0.994,0.1,20,>10.0,0.00076,0.272
2334,DIFF EQUAT+,0012-2661,1862,0.42,0.337,0.085,176,>10.0,0.00285,0.177
2335,DIFFER GEOM APPL,0926-2245,463,0.484,0.58,0.086,58,6.7,0.00313,0.501
2336,DIFFER INTEGRAL EQU,0893-4983,978,0.733,,0.119,59,>10.0,0.00293,
2337,DIFFERENTIATION,0301-4681,3042,2.855,3.011,0.861,79,7.9,0.00666,1.005
2338,DIG J NANOMATER BIOS,1842-3582,661,1.092,1.147,0.176,205,2.4,0.00214,0.23
2339,DIGEST DIS,0257-2753,1453,2.725,2.444,0.039,152,3.6,0.00517,0.704
2340,DIGEST DIS SCI,0163-2116,11665,2.26,1.99,0.546,403,7.8,0.02309,0.558
2341,DIGEST ENDOSC,0915-5635,729,1.61,1.262,0.155,97,3.3,0.0022,0.322
2342,DIGEST LIVER DIS,1590-8658,3631,3.162,2.96,0.799,159,4.9,0.01086,0.845
2343,DIGEST SURG,0253-4886,1503,1.472,1.719,0.17,53,7.4,0.00334,0.529
2344,DIGESTION,0012-2823,2402,1.94,2.159,0.274,95,9.1,0.00432,0.622
2345,DIGIT INVEST,1742-2876,182,0.63,0.768,0.111,36,4.3,0.00043,0.149
2346,DIGIT SIGNAL PROCESS,1051-2004,1725,1.918,1.871,0.137,124,5.9,0.00503,0.628
2347,DIS AQUAT ORGAN,0177-5103,5223,1.734,2.103,0.305,131,8.8,0.00634,0.53
2348,DIS COLON RECTUM,0012-3706,12462,3.336,3.273,0.515,171,9,0.02016,0.976
2349,DIS ESOPHAGUS,1120-8694,1592,1.642,1.676,0.349,106,5,0.00469,0.498
2350,DIS MARKERS,0278-0240,1245,2.14,2.479,0.198,81,4.6,0.00402,0.691
