Rank,Abbreviated Journal Title,ISSN,Total Cites,Impact factor,5-Year IF,Immediacy Index,Articles,Cited Half-life,Eigenfactor Score,Article Influence Score
2032,WORLD J SURG,0364-2313,12604,2.348,2.79,0.377,377,6.9,0.02667,0.839
2033,ECOHYDROLOGY,1936-0584,776,2.634,2.788,0.368,95,2.9,0.00444,1.005
2034,CURR OPIN PEDIATR,1040-8703,2599,2.744,2.788,0.417,96,5.3,0.00816,0.942
2035,PLANT PATHOL,0032-0862,4549,2.969,2.788,0.367,158,8.5,0.00769,0.805
2036,IEEE T SOFTWARE ENG,0098-5589,4203,2.292,2.786,0.383,94,>10.0,0.00611,1.3
2037,J MOL CATAL B-ENZYM,1381-1177,5250,2.745,2.786,0.566,267,5,0.00917,0.566
2038,NEURORADIOLOGY,0028-3940,4806,2.374,2.785,0.319,166,9.2,0.0088,0.928
2039,INVENT MATH,0020-9910,7060,2.123,2.783,0.6,60,>10.0,0.02714,5.336
2040,BIOMARK MED,1752-0363,827,2.858,2.783,0.721,68,3.1,0.00374,0.836
2041,LASER PHYS LETT,1612-2011,2919,2.964,2.783,0.567,351,3.8,0.0075,0.597
2042,ESTUAR COAST SHELF S,0272-7714,12625,2.253,2.782,0.461,295,7.8,0.02274,0.871
2043,INFECT DIS CLIN N AM,0891-5520,1849,2.312,2.781,0.213,47,7.9,0.00393,0.918
2044,BMC PUBLIC HEALTH,1471-2458,13919,2.321,2.781,0.248,1244,3.7,0.05691,0.871
2045,CURR ORG SYNTH,1570-1794,739,2.439,2.778,0.311,61,4.6,0.00181,0.632
2046,HAEMOPHILIA,1351-8216,4682,2.468,2.778,0.738,172,5.5,0.01012,0.663
2047,METEORIT PLANET SCI,1086-9379,4962,2.827,2.777,1.738,145,7.6,0.01101,1.04
2048,TOP CATAL,1022-5528,5476,2.22,2.776,0.17,230,6.5,0.01042,0.724
2049,PLANT FOOD HUM NUTR,0921-9668,1819,2.416,2.774,0.365,63,7.5,0.00246,0.553
2050,HEALTH SERV RES,0017-9124,4865,2.491,2.772,0.575,113,8.1,0.01354,1.432
2051,TETRAHEDRON,0040-4020,53977,2.817,2.772,0.65,1323,8.8,0.06377,0.612
2052,PHARMACOL BIOCHEM BE,0091-3057,12939,2.82,2.772,0.424,245,>10.0,0.01594,0.743
2053,J PROD INNOVAT MANAG,0737-6782,2886,1.379,2.77,0.217,92,9.1,0.00442,0.834
2054,CONSTR BUILD MATER,0950-0618,10338,2.265,2.769,0.345,1098,4.2,0.02727,0.644
2055,J MARINE SYST,0924-7963,4965,2.476,2.769,1.022,136,6.6,0.01386,1.106
2056,B VOLCANOL,0258-8900,4367,2.667,2.768,0.636,99,>10.0,0.00868,1.155
2057,CELL BIOCHEM BIOPHYS,1085-9195,1987,2.38,2.767,0.34,300,4.9,0.00485,0.803
2058,J ENVIRON RADIOACTIV,0265-931X,5145,3.571,2.767,0.801,231,6.6,0.01027,0.75
2059,J CATARACT REFR SURG,0886-3350,10251,2.552,2.766,0.542,264,6.7,0.01953,0.743
2060,TOXICON,0041-0101,10468,2.581,2.766,0.571,294,8.4,0.01285,0.589
2061,SLEEP BREATH,1520-9512,1777,2.869,2.766,0.587,160,3.3,0.00425,0.596
2062,CELL ADHES MIGR,1933-6918,1062,3.395,2.766,0.959,49,3.3,0.0055,0.976
2063,CURR VASC PHARMACOL,1570-1611,1316,2.908,2.765,0.5,80,3.7,0.0038,0.683
2064,ENVIRON CHEM,1448-2517,1472,3.035,2.765,0.491,53,5.5,0.00424,0.915
2065,MICROBES INFECT,1286-4579,6852,2.731,2.764,0.829,105,7.6,0.01218,0.913
2066,CARDIOL REV,1061-5377,923,3.238,2.764,0.526,38,4.4,0.00294,0.865
2067,NEUROPSYCHOL REHABIL,0960-2011,1406,2.068,2.758,0.256,43,7.5,0.00255,0.723
2068,MINER DEPOSITA,0026-4598,2344,2.667,2.758,0.66,53,9.9,0.00426,1.027
2069,CLASSICAL QUANT GRAV,0264-9381,14313,3.103,2.757,1.308,415,6.3,0.04306,1.111
2070,ACM T MATH SOFTWARE,0098-3500,2663,3.289,2.755,0.367,30,>10.0,0.00529,2.039
2071,ACM T SENSOR NETWORK,1550-4859,780,1.463,2.754,0.145,62,4.9,0.00293,0.98
2072,EUR J PHARMACOL,0014-2999,29102,2.684,2.754,0.479,685,8.9,0.0411,0.696
2073,ANN NUTR METAB,0250-6807,2143,2.747,2.754,0.204,93,5.7,0.00473,0.702
2074,J HEADACHE PAIN,1129-2369,1492,3.281,2.753,0.941,85,3.4,0.00417,0.656
2075,J BIOMATER APPL,0885-3282,1115,2.764,2.752,0.485,103,4.7,0.00225,0.595
2076,J ACM,0004-5411,4357,2.939,2.752,0.103,39,>10.0,0.00778,3.208
2077,J SPORT SCI,0264-0414,6288,2.095,2.751,0.397,184,7.3,0.01149,0.762
2078,J NEUROVIROL,1355-0284,2142,3.323,2.751,0.543,70,8.1,0.00376,0.789
2079,WIND ENERGY,1095-4244,1529,2.556,2.75,0.39,82,6,0.00485,1.082
2080,J BIOMED BIOTECHNOL,1110-7243,4758,2.706,2.75,,0,3,0.01845,0.732
2081,ANAL BIOCHEM,0003-2697,39123,2.305,2.749,0.553,407,>10.0,0.02874,0.769
2082,CLIN CHIM ACTA,0009-8981,13083,2.764,2.748,0.454,348,7.8,0.02034,0.709
2083,ALCOHOL ALCOHOLISM,0735-0414,3764,2.092,2.747,0.798,94,8,0.00654,0.818
2084,OMICS,1536-2310,1055,2.73,2.746,0.267,60,3.4,0.00379,0.779
2085,IMMUNOL ALLERGY CLIN,0889-8561,1103,2.216,2.745,0.25,36,5.4,0.0031,0.803
2086,CELL STRESS CHAPERON,1355-8145,2202,2.537,2.745,0.763,76,6.9,0.00424,0.744
2087,PHYS EARTH PLANET IN,0031-9201,6731,2.398,2.744,0.679,78,>10.0,0.01656,1.482
2088,RADIAT RES,0033-7587,8044,2.445,2.744,0.574,136,>10.0,0.01101,0.803
2089,J CLIN PHARMACOL,1552-4604,5856,2.472,2.744,0.522,157,8,0.01042,0.788
2090,GEOSPHERE,1553-040X,1159,2.372,2.743,1.079,89,3.7,0.00528,1.082
2091,EUR J PUBLIC HEALTH,1101-1262,3591,2.459,2.743,0.795,195,5.8,0.01005,0.977
2092,J INVERTEBR PATHOL,0022-2011,4883,2.601,2.743,0.649,154,8.3,0.00814,0.711
2093,J REFRACT SURG,1081-597X,3295,2.781,2.743,0.395,119,5.7,0.0101,0.963
2094,INNATE IMMUN-LONDON,1753-4259,699,2.459,2.742,0.983,60,2.7,0.00328,0.857
2095,NUTR RES,0271-5317,3362,2.585,2.742,0.278,126,6.5,0.0063,0.656
2096,EXTREMOPHILES,1431-0651,2373,2.174,2.741,0.479,96,6.7,0.005,0.8
2097,J MATER SCI-MATER M,0957-4530,9377,2.379,2.741,0.258,264,6,0.01667,0.594
2098,INT J ONCOL,1019-6439,10283,2.773,2.741,0.567,471,5.8,0.02192,0.713
2099,CURR ATHEROSCLER REP,1523-3804,1489,3.059,2.739,0.549,82,4.6,0.00463,0.871
2100,ANN PHYS-NEW YORK,0003-4916,12297,3.065,2.739,1.02,203,>10.0,0.01419,1.278
2101,MEDCHEMCOMM,2040-2503,1247,2.626,2.737,0.675,206,2,0.00453,0.672
2102,J PEDIATR GASTR NUTR,0277-2116,8483,2.873,2.737,0.679,308,7.1,0.01749,0.812
2103,INT J ADHES ADHES,0143-7496,3109,2.216,2.736,0.315,162,7.2,0.00458,0.617
2104,J ANAT,0021-8782,7665,2.227,2.735,0.5,112,>10.0,0.00995,0.942
2105,J SYNCHROTRON RADIAT,0909-0495,4264,3.022,2.734,0.556,144,8.1,0.01116,1.093
2106,INT J THERM SCI,1290-0729,5021,2.563,2.732,0.445,211,4.6,0.01677,0.88
2107,TARGET ONCOL,1776-2596,445,3.458,2.731,0.968,31,2.9,0.0021,0.864
2108,J SEDIMENT RES,1527-1404,4057,1.943,2.73,0.243,74,>10.0,0.00507,1.025
2109,PARASITOLOGY,0031-1820,8764,2.35,2.729,0.569,197,>10.0,0.01293,0.871
2110,REMOTE SENS-BASEL,2072-4292,1739,2.623,2.729,0.883,316,2.4,0.00559,0.624
2111,PHYS REV A,1050-2947,98449,2.991,2.729,0.858,2780,8.4,0.22457,1.003
2112,IEEE T MICROW THEORY,0018-9480,17671,2.943,2.727,0.637,460,9,0.03974,1.223
2113,MICROCIRCULATION,1073-9688,1915,2.263,2.726,0.613,62,6.6,0.00502,0.955
2114,TUMOR BIOL,1010-4283,2530,2.84,2.726,0.644,477,2.6,0.00599,0.646
2115,HYPERTENS RES,0916-9636,4415,2.936,2.725,0.883,145,5.1,0.01164,0.748
2116,INT J ROBUST NONLIN,1049-8923,2833,2.652,2.724,0.777,121,5.1,0.00923,0.991
2117,INT IMMUNOPHARMACOL,1567-5769,6133,2.711,2.722,0.337,341,5.2,0.01385,0.651
2118,INT J MOL SCI,1422-0067,7898,2.339,2.721,0.543,1371,2.6,0.02637,0.638
2119,DRUG AGING,1170-229X,2581,2.503,2.72,0.435,92,6.8,0.00502,0.73
2120,EUR J ECHOCARDIOGR,1525-2167,2661,2.648,2.72,,0,4.5,0.01008,0.862
2121,VET PARASITOL,0304-4017,14204,2.545,2.719,0.608,498,6.6,0.02169,0.578
2122,ENVIRON CONSERV,0376-8929,2539,2.32,2.718,0.294,34,>10.0,0.00289,0.918
2123,CELL STRUCT FUNCT,0386-7196,1097,2.35,2.718,0.286,21,>10.0,0.00161,1.129
2124,GENES CELLS,1356-9597,4031,2.855,2.718,0.831,89,8.2,0.00935,1.175
2125,MUTAT RES-GEN TOX EN,1383-5718,6093,2.481,2.716,0.179,162,8,0.00856,0.63
2126,ECOTOX ENVIRON SAFE,0147-6513,8875,2.482,2.715,0.302,374,6.3,0.01636,0.644
2127,J FLUID MECH,0022-1120,38810,2.294,2.714,0.594,679,>10.0,0.04995,1.173
2128,BEHAV BRAIN FUNCT,1744-9081,1236,2,2.713,0.417,48,4.7,0.00383,0.793
2129,EUR J CARDIO-THORAC,1010-7940,12318,2.814,2.713,1.021,426,6.4,0.02962,0.889
2130,J CEREAL SCI,0733-5210,5125,1.943,2.712,0.483,151,7.6,0.00779,0.654
2131,PLASMA SOURCES SCI T,0963-0252,4381,3.056,2.712,0.838,136,6.7,0.01035,0.887
2132,ACTA TROP,0001-706X,5653,2.519,2.71,0.776,223,7.6,0.01067,0.768
2133,TAXON,0040-0262,3811,3.051,2.708,0.918,73,7.7,0.00682,0.787
2134,J DRUG TARGET,1061-186X,2625,2.723,2.706,0.553,94,6.5,0.00434,0.615
2135,EXPERT OPIN DRUG SAF,1474-0338,1523,2.735,2.706,0.797,74,4.3,0.00475,0.789
2136,GEOTEXT GEOMEMBRANES,0266-1144,1508,2.376,2.704,0.623,53,5.8,0.00339,0.74
2137,CURR OPIN OPHTHALMOL,1040-8738,2356,2.638,2.704,0.338,80,6.7,0.00582,0.918
2138,ECOHEALTH,1612-9202,1088,2.267,2.703,0.186,43,5.3,0.00343,0.869
2139,INT DAIRY J,0958-6946,5840,2.297,2.703,0.404,141,8.2,0.00721,0.711
2140,ARCH CLIN NEUROPSYCH,0887-6177,2935,1.921,2.702,0.183,71,8,0.0038,0.72
2141,SKIN PHARMACOL PHYS,1660-5527,1359,1.964,2.702,0.325,40,7.1,0.00211,0.616
2142,COGN NEUROSCI-UK,1758-8928,208,2.375,2.701,0,24,2.9,0.00134,1.041
2143,AQUAT SCI,1015-1621,1781,2.712,2.701,0.364,44,8.2,0.0037,0.959
2144,J CLIN LIPIDOL,1933-2874,776,3.587,2.7,0.443,61,2.9,0.00285,0.672
2145,J SHOULDER ELB SURG,1058-2746,6638,2.365,2.699,0.456,283,6.7,0.0132,0.769
2146,ONCOLOGY-BASEL,0030-2414,4006,2.613,2.699,0.729,118,7,0.00762,0.796
2147,RHEUM DIS CLIN N AM,0889-857X,1718,1.736,2.698,0.295,44,8.7,0.00378,0.933
2148,MOL DIVERS,1381-1991,1309,2.544,2.697,0.551,69,3.9,0.00284,0.525
2149,ACM SIGCOMM COMP COM,0146-4833,3581,1.102,2.695,0.03,133,7.4,0.01209,1.46
2150,CRIT REV ANAL CHEM,1040-8347,874,2.692,2.695,0.5,12,8.5,0.00098,0.619
2151,PROSTAG LEUKOTR ESS,0952-3278,2958,1.984,2.694,0.495,105,8.1,0.00408,0.655
2152,EUR J ORAL IMPLANTOL,1756-2406,349,2.017,2.694,0.538,26,3.5,0.00131,0.63
2153,J ENVIRON QUAL,0047-2425,12744,2.345,2.694,0.39,195,>10.0,0.01594,0.821
2154,INFECTION,0300-8126,2661,2.864,2.694,0.579,164,6.5,0.00542,0.75
2155,IEEE T ANTENN PROPAG,0018-926X,21139,2.459,2.693,0.411,778,8.2,0.0407,0.85
2156,M&SOM-MANUF SERV OP,1523-4614,1380,1.45,2.692,0.438,48,6.9,0.00556,1.654
2157,BMC STRUCT BIOL,1472-6807,1092,2.222,2.692,0.024,42,5.2,0.0047,1.081
2158,PEDIATR CRIT CARE ME,1529-7535,3192,2.326,2.692,0.892,158,4.9,0.00832,0.765
2159,HUM-COMPUT INTERACT,0737-0024,859,2.333,2.692,0.188,16,>10.0,0.00118,1.361
2160,J STUD ALCOHOL DRUGS,1937-1888,6107,2.272,2.691,0.315,108,>10.0,0.00814,0.869
2161,AM J NEPHROL,0250-8095,3572,2.646,2.691,0.473,129,5.7,0.00929,0.814
2162,ECOSPHERE,2150-8925,775,2.595,2.69,0.183,153,2.3,0.00552,1.191
2163,GASTROENTEROL CLIN N,0889-8553,1684,1.919,2.689,0.49,51,7.3,0.00366,0.861
2164,PROG PART NUCL PHYS,0146-6410,2636,2.38,2.689,3.457,35,7,0.00803,1.297
2165,AM J MANAG CARE,1088-0224,2922,2.166,2.688,0.313,115,5.3,0.01172,1.164
2166,HYDROMETALLURGY,0304-386X,6266,2.224,2.688,0.265,166,8,0.00984,0.664
2167,EUR J PREV CARDIOL,2047-4873,516,2.675,2.688,0.636,118,1.4,0.00237,0.903
2168,BIRTH-ISS PERINAT C,0730-7659,1744,2.048,2.685,0.154,39,8.5,0.00294,0.878
2169,REACT FUNCT POLYM,1381-5148,4981,2.822,2.685,0.553,208,6.9,0.0062,0.515
2170,CARDIOVASC THER,1755-5914,682,2.536,2.684,0.522,69,2.9,0.00307,0.774
2171,J BIOMED SCI,1021-7770,2464,2.736,2.684,0.227,97,4.8,0.00599,0.686
2172,REV ESP CARDIOL,0300-8932,2407,3.342,2.683,1.182,77,4.3,0.00491,0.525
2173,ANIM GENET,0268-9146,3329,2.21,2.682,0.532,109,6.2,0.00611,0.631
2174,REPROD BIOMED ONLINE,1472-6483,5168,2.98,2.682,1.799,149,5,0.01414,0.771
2175,BRAIN IMAGING BEHAV,1931-7557,527,3.385,2.682,0.714,49,2.6,0.0026,0.899
2176,WATER RESOUR MANAG,0920-4741,4194,2.463,2.681,0.357,305,4.4,0.00939,0.575
2177,J SPEECH LANG HEAR R,1092-4388,5372,1.926,2.68,0.382,131,8.9,0.00925,0.917
2178,BMC BIOTECHNOL,1472-6750,2232,2.592,2.68,0.339,109,5,0.00718,0.838
2179,CHEM PHYS LIPIDS,0009-3084,3963,2.593,2.68,0.507,71,>10.0,0.00523,0.716
2180,J CANCER,1837-9664,470,2.639,2.68,0.788,80,2.2,0.00185,0.753
2181,J NUCL CARDIOL,1071-3581,2544,2.645,2.678,0.64,89,5.5,0.00603,0.739
2182,COGN NEUROPSYCHOL,0264-3294,2173,1.964,2.676,0.107,28,>10.0,0.0029,1.019
2183,COMPUT STRUCT,0045-7949,9044,2.178,2.676,0.292,209,>10.0,0.01574,1.156
2184,BIOPOLYMERS,0006-3525,10500,2.288,2.675,0.621,169,>10.0,0.01139,0.831
2185,REV CHEM ENG,0167-8299,328,2.833,2.675,0.375,16,9.9,0.00055,0.815
2186,ENDOCRINE,1355-008X,3155,3.527,2.675,0.791,182,4.9,0.00582,0.587
2187,FUEL CELLS,1615-6846,2439,1.546,2.674,0.203,143,5.5,0.00545,0.669
2188,CURR OPIN PULM MED,1070-5287,2069,2.957,2.674,0.478,90,5.2,0.006,0.866
2189,J ATMOS OCEAN TECH,0739-0572,6775,1.82,2.673,0.49,202,9.6,0.01688,1.282
2190,ACTA PHARMACOL SIN,1671-4083,5875,2.496,2.673,0.462,186,6.6,0.01043,0.651
2191,IEEE PERVAS COMPUT,1536-1268,1304,2.103,2.672,0.133,30,7.4,0.00463,1.514
2192,EPIDEMIOL INFECT,0950-2688,6696,2.491,2.671,0.65,297,6.4,0.01643,0.882
2193,BIODIVERS CONSERV,0960-3115,7589,2.065,2.668,0.553,179,7.1,0.01605,0.847
2194,BIOINSPIR BIOMIM,1748-3182,755,2.534,2.667,0.579,57,3.5,0.00362,1.015
2195,IEEE T VEH TECHNOL,0018-9545,9688,2.642,2.667,0.339,436,4.8,0.03382,0.941
2196,BIRTH DEFECTS RES A,1542-0752,2131,2.211,2.666,0.262,84,4.8,0.00789,0.985
2197,CHROMOSOME RES,0967-3849,2456,2.688,2.665,0.565,62,6.9,0.0075,1.201
2198,PEDIATR NEPHROL,0931-041X,7244,2.881,2.665,0.68,225,6.1,0.01576,0.737
2199,J VOLCANOL GEOTH RES,0377-0273,10716,2.515,2.664,2.059,256,9.1,0.01947,0.999
2200,EUROPACE,1099-5129,5356,3.05,2.664,1.202,242,3.8,0.01973,0.821
2201,SPORTS MED ARTHROSC,1062-8592,707,1.977,2.662,0.088,34,4.2,0.00305,0.934
2202,COMPUT CHEM ENG,0098-1354,8217,2.452,2.661,0.418,237,9.1,0.01242,0.677
2203,EUR SPINE J,0940-6719,8340,2.473,2.658,0.378,452,6,0.02024,0.799
2204,J APPL MICROBIOL,1364-5072,13881,2.386,2.657,0.436,319,7.5,0.02379,0.752
2205,MACROMOL MATER ENG,1438-7492,3457,2.781,2.656,0.805,123,6.8,0.00561,0.617
2206,FISHERIES,0363-2415,1565,2.317,2.655,0.328,58,>10.0,0.00239,1.029
2207,ESTUAR COAST,1559-2723,2033,2.245,2.653,0.495,99,4.5,0.00826,0.957
2208,BEST PRACT RES CL OB,1521-6934,1824,3,2.653,0.261,69,6.1,0.00456,0.828
2209,POLYMERS-BASEL,2073-4360,677,2.505,2.652,0.393,56,2.5,0.0026,0.628
2210,DECIS SUPPORT SYST,0167-9236,4196,2.036,2.651,0.214,206,6.4,0.00891,0.756
2211,ACAD PEDIATR,1876-2859,678,2.227,2.651,0.415,82,3.2,0.00401,0.994
2212,SEMIN RESP CRIT CARE,1069-3424,1518,3.022,2.65,0.39,77,4.7,0.00482,0.847
2213,JOINT BONE SPINE,1297-319X,2622,3.218,2.65,0.495,105,4.9,0.0073,0.725
2214,INT J DEV NEUROSCI,0736-5748,2901,2.918,2.648,0.47,100,7.5,0.00571,0.752
2215,RESPIRATION,0025-7931,3189,2.924,2.648,0.84,119,5.8,0.00676,0.684
2216,GROWTH FACTORS,0897-7194,1401,3.088,2.647,0.4,20,7.9,0.00259,0.84
2217,BMC GASTROENTEROL,1471-230X,2175,2.113,2.644,0.253,174,3.8,0.00814,0.773
2218,J SEP SCI,1615-9306,9135,2.594,2.643,0.505,487,4.6,0.02245,0.592
2219,BEILSTEIN J ORG CHEM,1860-5397,2106,2.803,2.643,0.431,318,2.6,0.00783,0.671
2220,J CHEM ECOL,0098-0331,9260,2.239,2.642,0.691,136,>10.0,0.01042,0.792
2221,J BUS ECON STAT,0735-0015,3441,2.319,2.641,0.378,37,>10.0,0.01302,3.725
2222,TREE GENET GENOMES,1614-2942,1394,2.435,2.639,0.369,122,3.5,0.00464,0.617
2223,MOLECULES,1420-3049,10380,2.095,2.638,0.315,1003,3.5,0.02854,0.551
2224,J EUR CERAM SOC,0955-2219,15041,2.307,2.638,0.455,374,7.3,0.02452,0.696
2225,DEV DYNAM,1058-8388,10536,2.668,2.638,0.659,123,7.6,0.02597,1.143
2226,CANCER GENE THER,0929-1903,2656,2.553,2.637,0.44,91,6.4,0.00551,0.716
2227,VECTOR-BORNE ZOONOT,1530-3667,2811,2.531,2.635,0.536,138,3.7,0.00915,0.741
2228,J GEOCHEM EXPLOR,0375-6742,2990,2.432,2.634,0.647,133,7.8,0.00481,0.693
2229,RAPID COMMUN MASS SP,0951-4198,13721,2.642,2.634,0.57,302,6.9,0.02692,0.754
2230,WORLD J GASTROENTERO,1007-9327,20957,2.433,2.633,0.235,1205,5.5,0.05116,0.693
2231,J REPROD IMMUNOL,0165-0378,2159,2.373,2.632,0.328,64,6,0.00523,0.777
2232,INT J SYST EVOL MICR,1466-5026,16307,2.798,2.632,0.551,737,6.6,0.01856,0.43
2233,CRYSTALLOGR REV,0889-311X,227,2.882,2.632,0.125,8,7.2,0.00069,1.083
2234,ELECTROANAL,1040-0397,10744,2.502,2.631,0.427,328,6.7,0.01498,0.513
2235,INT J COLORECTAL DIS,0179-1958,4187,2.415,2.63,0.58,193,5.1,0.01139,0.761
2236,J BIOMED MATER RES B,1552-4973,5896,2.328,2.629,0.365,170,5.2,0.01397,0.639
2237,ACTA ORTHOP,1745-3674,6683,2.452,2.629,0.262,103,>10.0,0.00887,0.852
2238,J APPL METEOROL CLIM,1558-8424,9688,2.099,2.627,0.447,188,>10.0,0.01861,1.258
2239,MAR PETROL GEOL,0264-8172,4267,2.469,2.627,0.851,201,8.1,0.00854,0.834
2240,J LIGHTWAVE TECHNOL,0733-8724,15562,2.862,2.627,0.647,496,7.1,0.03583,0.876
2241,AICHE J,0001-1541,18674,2.581,2.626,0.582,409,>10.0,0.01766,0.719
2242,EUR J OPER RES,0377-2217,26370,1.843,2.625,0.314,491,8.3,0.04976,0.943
2243,PLANT BIOLOGY,1435-8603,3140,2.405,2.623,1.021,141,5.8,0.00678,0.717
2244,ATMOS RES,0169-8095,4749,2.421,2.623,0.751,241,4.9,0.01416,0.835
2245,CLIN THER,0149-2918,6503,2.586,2.622,0.601,173,6.7,0.01295,0.759
2246,TRANSBOUND EMERG DIS,1865-1674,866,3.116,2.622,0.783,106,2.5,0.00324,0.655
2247,TRANSBOUND EMERG DIS,1865-1674,866,3.116,2.622,0.783,106,2.5,0.00324,0.655
2248,FOOD ADDIT CONTAM A,1944-0049,5598,2.341,2.621,0.387,222,7.1,0.00921,0.621
2249,DRUG TEST ANAL,1942-7603,1079,2.816,2.621,0.675,120,2.4,0.00408,0.647
2250,VIRCHOWS ARCH,0945-6317,5113,2.56,2.62,0.37,135,7.5,0.00934,0.777
2251,FRONT CELL INFECT MI,2235-2988,496,2.62,2.62,0.456,103,1.5,0.00259,0.905
2252,EUR J INFORM SYST,0960-085X,1441,1.654,2.619,0.405,37,6.9,0.00344,0.98
2253,EXP BRAIN RES,0014-4819,22201,2.168,2.619,0.432,417,>10.0,0.03034,0.855
2254,J EUKARYOT MICROBIOL,1066-5234,2692,2.911,2.619,0.476,63,9.1,0.00427,0.778
2255,NEUROCRIT CARE,1541-6933,2298,2.604,2.618,0.378,111,3.8,0.00907,0.818
2256,J QUANT SPECTROSC RA,0022-4073,7371,2.288,2.617,0.598,316,7.6,0.01502,0.809
2257,PROSTAG OTH LIPID M,1098-8823,2031,2.862,2.615,0.407,54,9.8,0.00289,0.739
2258,ANAEROBE,1075-9964,1939,2.364,2.613,0.414,111,4.7,0.00555,0.768
2259,INHAL TOXICOL,0895-8378,3207,2.344,2.612,0.364,88,6.2,0.00612,0.655
2260,EMPIR SOFTW ENG,1382-3256,564,1.64,2.61,0.25,32,5.4,0.00245,1.19
2261,CLIN DERMATOL,0738-081X,2613,1.93,2.609,0.506,85,6.8,0.00469,0.73
2262,TELLUS A,0280-6495,2382,2.518,2.609,0.138,58,8.2,0.00769,1.437
2263,BIOINTERPHASES,1934-8630,757,2.677,2.607,0.382,34,4.8,0.00251,0.766
2264,CAN J FISH AQUAT SCI,0706-652X,15942,2.276,2.606,0.333,171,>10.0,0.01529,1.013
2265,GEOTHERMICS,0375-6505,1291,2.86,2.606,0.176,34,>10.0,0.00227,0.954
2266,INT J PUBLIC HEALTH,1661-8556,1081,1.966,2.605,0.424,92,3.8,0.00477,0.781
2267,PHOTOCHEM PHOTOBIOL,0031-8655,9762,2.684,2.604,0.505,184,>10.0,0.01064,0.675
2268,LASER MED SCI,0268-8921,2310,2.419,2.602,0.56,200,4.3,0.00585,0.601
2269,CLIN REHABIL,0269-2155,3950,2.18,2.601,0.5,114,7.7,0.00667,0.751
2270,MAMM GENOME,0938-8990,2965,2.883,2.599,0.306,49,9.5,0.00519,0.943
2271,CLIN ORAL INVEST,1432-6981,2211,2.285,2.597,0.517,242,4,0.00631,0.731
2272,ICES J MAR SCI,1054-3139,7533,2.525,2.595,0.393,140,8,0.01637,0.916
2273,RELIAB ENG SYST SAFE,0951-8320,5497,2.048,2.593,0.381,210,7.2,0.01234,0.898
2274,APPL PHYS EXPRESS,1882-0778,5144,2.567,2.593,0.38,489,3.1,0.02911,0.913
2275,LIPIDS,0024-4201,7136,2.353,2.592,0.381,118,>10.0,0.00684,0.7
2276,PROSTATE CANCER P D,1365-7852,1395,2.83,2.592,0.871,62,5.1,0.004,0.832
2277,Q J EXP PSYCHOL,1747-0218,3883,1.73,2.591,0.417,151,5.8,0.01402,1.082
2278,RADIAT ONCOL,1748-717X,1933,2.36,2.59,0.321,296,2.8,0.00811,0.762
2279,MAT SCI ENG A-STRUCT,0921-5093,45292,2.409,2.59,0.456,1285,7.6,0.07751,0.724
2280,CLIN BIOMECH,0268-0033,6315,1.88,2.589,0.137,161,8.5,0.01114,0.839
2281,J DIABETES,1753-0393,406,2.349,2.589,0.429,56,2.9,0.00183,0.75
2282,MOL BREEDING,1380-3743,3562,2.281,2.588,0.476,164,6.2,0.00749,0.696
2283,SYNAPSE,0887-4476,4953,2.428,2.588,0.402,87,9.6,0.00839,0.813
2284,AQUACULTURE,0044-8486,24931,1.828,2.586,0.257,417,9.5,0.02466,0.61
2285,ACTA PHYS SLOVACA,0323-0465,273,2,2.586,0,1,6.8,0.00053,1.089
2286,MAR GEOL,0025-3227,9584,2.201,2.586,0.804,153,>10.0,0.01135,0.94
2287,EUR J APPL PHYSIOL,1439-6319,12058,2.298,2.586,0.503,292,8.5,0.02121,0.745
2288,IEEE T INF TECHNOL B,1089-7771,2525,2.072,2.584,,0,4.7,0.0077,0.745
2289,J MED MICROBIOL,0022-2615,8123,2.266,2.583,0.416,269,7.1,0.0165,0.789
2290,BOUND-LAY METEOROL,0006-8314,5913,2.525,2.583,0.495,101,>10.0,0.00892,1.08
2291,J AGRON CROP SCI,0931-2250,1535,2.618,2.583,0.255,47,7.8,0.00226,0.563
2292,IEEE T AUDIO SPEECH,1558-7916,3492,2.625,2.583,0.416,219,4,0.01051,0.712
2293,ADV BIOCHEM ENG BIOT,0724-6145,1916,2.6,2.582,0.609,64,8.2,0.00199,0.653
2294,BOT J LINN SOC,0024-4074,3486,2.699,2.582,1.374,115,7.7,0.00529,0.624
2295,J PLANT GROWTH REGUL,0721-7595,1664,2.058,2.581,0.333,84,8.2,0.0023,0.601
2296,J PLANT ECOL,1752-9921,458,2.284,2.58,0.769,52,3.4,0.00218,0.83
2297,J AM CERAM SOC,0002-7820,32763,2.428,2.579,0.38,598,>10.0,0.03922,0.689
2298,PROG ORG COAT,0300-9440,5854,2.302,2.577,0.377,244,6.9,0.00825,0.503
2299,J COMP PSYCHOL,0735-7036,2745,2.309,2.577,0.217,46,>10.0,0.00399,1.018
2300,MECH MATER,0167-6636,4286,2.225,2.575,0.344,125,9.5,0.00807,0.995
2301,FEMS YEAST RES,1567-1356,2935,2.436,2.575,0.711,76,6.3,0.00717,0.821
2302,FEMS IMMUNOL MED MIC,0928-8244,4107,2.554,2.575,,0,6.9,0.00872,0.783
